"Step","pious-sweep-60 - test/rew_mean","pious-sweep-60 - test/rew_mean__MIN","pious-sweep-60 - test/rew_mean__MAX","serene-sweep-59 - test/rew_mean","serene-sweep-59 - test/rew_mean__MIN","serene-sweep-59 - test/rew_mean__MAX","dainty-sweep-58 - test/rew_mean","dainty-sweep-58 - test/rew_mean__MIN","dainty-sweep-58 - test/rew_mean__MAX","stoic-sweep-57 - test/rew_mean","stoic-sweep-57 - test/rew_mean__MIN","stoic-sweep-57 - test/rew_mean__MAX","twilight-sweep-56 - test/rew_mean","twilight-sweep-56 - test/rew_mean__MIN","twilight-sweep-56 - test/rew_mean__MAX","restful-sweep-55 - test/rew_mean","restful-sweep-55 - test/rew_mean__MIN","restful-sweep-55 - test/rew_mean__MAX","kind-sweep-54 - test/rew_mean","kind-sweep-54 - test/rew_mean__MIN","kind-sweep-54 - test/rew_mean__MAX","atomic-sweep-53 - test/rew_mean","atomic-sweep-53 - test/rew_mean__MIN","atomic-sweep-53 - test/rew_mean__MAX","deft-sweep-52 - test/rew_mean","deft-sweep-52 - test/rew_mean__MIN","deft-sweep-52 - test/rew_mean__MAX","valiant-sweep-51 - test/rew_mean","valiant-sweep-51 - test/rew_mean__MIN","valiant-sweep-51 - test/rew_mean__MAX","effortless-sweep-50 - test/rew_mean","effortless-sweep-50 - test/rew_mean__MIN","effortless-sweep-50 - test/rew_mean__MAX","lucky-sweep-49 - test/rew_mean","lucky-sweep-49 - test/rew_mean__MIN","lucky-sweep-49 - test/rew_mean__MAX","robust-sweep-48 - test/rew_mean","robust-sweep-48 - test/rew_mean__MIN","robust-sweep-48 - test/rew_mean__MAX","flowing-sweep-47 - test/rew_mean","flowing-sweep-47 - test/rew_mean__MIN","flowing-sweep-47 - test/rew_mean__MAX","eternal-sweep-46 - test/rew_mean","eternal-sweep-46 - test/rew_mean__MIN","eternal-sweep-46 - test/rew_mean__MAX","vocal-sweep-45 - test/rew_mean","vocal-sweep-45 - test/rew_mean__MIN","vocal-sweep-45 - test/rew_mean__MAX","iconic-sweep-44 - test/rew_mean","iconic-sweep-44 - test/rew_mean__MIN","iconic-sweep-44 - test/rew_mean__MAX","winter-sweep-43 - test/rew_mean","winter-sweep-43 - test/rew_mean__MIN","winter-sweep-43 - test/rew_mean__MAX","likely-sweep-42 - test/rew_mean","likely-sweep-42 - test/rew_mean__MIN","likely-sweep-42 - test/rew_mean__MAX","gallant-sweep-41 - test/rew_mean","gallant-sweep-41 - test/rew_mean__MIN","gallant-sweep-41 - test/rew_mean__MAX","sleek-sweep-40 - test/rew_mean","sleek-sweep-40 - test/rew_mean__MIN","sleek-sweep-40 - test/rew_mean__MAX","cosmic-sweep-39 - test/rew_mean","cosmic-sweep-39 - test/rew_mean__MIN","cosmic-sweep-39 - test/rew_mean__MAX","earnest-sweep-38 - test/rew_mean","earnest-sweep-38 - test/rew_mean__MIN","earnest-sweep-38 - test/rew_mean__MAX","frosty-sweep-37 - test/rew_mean","frosty-sweep-37 - test/rew_mean__MIN","frosty-sweep-37 - test/rew_mean__MAX","apricot-sweep-36 - test/rew_mean","apricot-sweep-36 - test/rew_mean__MIN","apricot-sweep-36 - test/rew_mean__MAX","fluent-sweep-35 - test/rew_mean","fluent-sweep-35 - test/rew_mean__MIN","fluent-sweep-35 - test/rew_mean__MAX","colorful-sweep-34 - test/rew_mean","colorful-sweep-34 - test/rew_mean__MIN","colorful-sweep-34 - test/rew_mean__MAX","radiant-sweep-33 - test/rew_mean","radiant-sweep-33 - test/rew_mean__MIN","radiant-sweep-33 - test/rew_mean__MAX","summer-sweep-32 - test/rew_mean","summer-sweep-32 - test/rew_mean__MIN","summer-sweep-32 - test/rew_mean__MAX","colorful-sweep-31 - test/rew_mean","colorful-sweep-31 - test/rew_mean__MIN","colorful-sweep-31 - test/rew_mean__MAX"
"0","11.95","11.95","11.95","13.5","13.5","13.5","13.2","13.2","13.2","11.75","11.75","11.75","12.4","12.4","12.4","12.15","12.15","12.15","12.45","12.45","12.45","11.65","11.65","11.65","14.35","14.35","14.35","12.25","12.25","12.25","13.15","13.15","13.15","12.65","12.65","12.65","12.2","12.2","12.2","12.1","12.1","12.1","12.8","12.8","12.8","12.7","12.7","12.7","12.8","12.8","12.8","14.6","14.6","14.6","13.9","13.9","13.9","10.85","10.85","10.85","13.15","13.15","13.15","12.6","12.6","12.6","11.9","11.9","11.9","12.6","12.6","12.6","13.75","13.75","13.75","11.3","11.3","11.3","14","14","14","13.15","13.15","13.15","12.95","12.95","12.95","13.05","13.05","13.05"
"2","15.2","15.2","15.2","16.5","16.5","16.5","18.85","18.85","18.85","14.55","14.55","14.55","15.65","15.65","15.65","14.15","14.15","14.15","14.4","14.4","14.4","17.8","17.8","17.8","15.4","15.4","15.4","17.3","17.3","17.3","18.9","18.9","18.9","16.75","16.75","16.75","16.5","16.5","16.5","15.6","15.6","15.6","16.3","16.3","16.3","16","16","16","16.8","16.8","16.8","16.15","16.15","16.15","15.65","15.65","15.65","14.9","14.9","14.9","17.75","17.75","17.75","14.5","14.5","14.5","15.9","15.9","15.9","15.3","15.3","15.3","16.3","16.3","16.3","15.4","15.4","15.4","16.2","16.2","16.2","14.95","14.95","14.95","15","15","15","14.9","14.9","14.9"
"4","16.9","16.9","16.9","17.95","17.95","17.95","19.35","19.35","19.35","16.9","16.9","16.9","21.05","21.05","21.05","16.4","16.4","16.4","16.1","16.1","16.1","17.8","17.8","17.8","17.3","17.3","17.3","18.3","18.3","18.3","20.75","20.75","20.75","19.8","19.8","19.8","17.15","17.15","17.15","20.3","20.3","20.3","17.4","17.4","17.4","14.15","14.15","14.15","15.45","15.45","15.45","17.3","17.3","17.3","19.4","19.4","19.4","14.45","14.45","14.45","20.75","20.75","20.75","16.7","16.7","16.7","18.4","18.4","18.4","16.75","16.75","16.75","17.25","17.25","17.25","18.1","18.1","18.1","19.6","19.6","19.6","18.1","18.1","18.1","17.6","17.6","17.6","19.25","19.25","19.25"
"6","20.95","20.95","20.95","19.35","19.35","19.35","19.6","19.6","19.6","19.85","19.85","19.85","23.15","23.15","23.15","18.2","18.2","18.2","18.05","18.05","18.05","18.9","18.9","18.9","17.25","17.25","17.25","19.5","19.5","19.5","19.2","19.2","19.2","21.9","21.9","21.9","17.45","17.45","17.45","20","20","20","18.65","18.65","18.65","17.85","17.85","17.85","18.05","18.05","18.05","19.3","19.3","19.3","19.5","19.5","19.5","16.4","16.4","16.4","19.85","19.85","19.85","17.05","17.05","17.05","20","20","20","22.4","22.4","22.4","18.9","18.9","18.9","17.4","17.4","17.4","20.4","20.4","20.4","19.5","19.5","19.5","17.1","17.1","17.1","20.1","20.1","20.1"
"8","21.9","21.9","21.9","21.7","21.7","21.7","19.45","19.45","19.45","21.85","21.85","21.85","22.8","22.8","22.8","19.5","19.5","19.5","20.35","20.35","20.35","20","20","20","17.85","17.85","17.85","22.7","22.7","22.7","19.4","19.4","19.4","21","21","21","22.4","22.4","22.4","18.45","18.45","18.45","20.6","20.6","20.6","20.2","20.2","20.2","18.95","18.95","18.95","19.9","19.9","19.9","22.6","22.6","22.6","19.45","19.45","19.45","18.8","18.8","18.8","19.3","19.3","19.3","21.3","21.3","21.3","22.1","22.1","22.1","20.45","20.45","20.45","18.1","18.1","18.1","19.95","19.95","19.95","20.45","20.45","20.45","16.8","16.8","16.8","21.25","21.25","21.25"
"10","21.3","21.3","21.3","21.65","21.65","21.65","18.6","18.6","18.6","22.05","22.05","22.05","21.85","21.85","21.85","22.4","22.4","22.4","18.85","18.85","18.85","19.45","19.45","19.45","20.7","20.7","20.7","22.45","22.45","22.45","21","21","21","21.2","21.2","21.2","20.15","20.15","20.15","19.9","19.9","19.9","20.15","20.15","20.15","20.25","20.25","20.25","17.85","17.85","17.85","21.25","21.25","21.25","20.7","20.7","20.7","19.3","19.3","19.3","18.85","18.85","18.85","20.3","20.3","20.3","24.05","24.05","24.05","20.85","20.85","20.85","19.85","19.85","19.85","19.5","19.5","19.5","19.85","19.85","19.85","21.6","21.6","21.6","17.4","17.4","17.4","19.7","19.7","19.7"
"12","21.2","21.2","21.2","23.7","23.7","23.7","22.3","22.3","22.3","22.85","22.85","22.85","21.45","21.45","21.45","20.75","20.75","20.75","20.5","20.5","20.5","19.15","19.15","19.15","14.7","14.7","14.7","21.1","21.1","21.1","19.5","19.5","19.5","21.7","21.7","21.7","21.85","21.85","21.85","19.75","19.75","19.75","21.95","21.95","21.95","20.05","20.05","20.05","20.5","20.5","20.5","20.55","20.55","20.55","21.4","21.4","21.4","20.75","20.75","20.75","19.5","19.5","19.5","19.55","19.55","19.55","23.1","23.1","23.1","21.8","21.8","21.8","22.25","22.25","22.25","22","22","22","18.65","18.65","18.65","21","21","21","18.35","18.35","18.35","24.85","24.85","24.85"
"14","22.6","22.6","22.6","23.65","23.65","23.65","23.15","23.15","23.15","21.55","21.55","21.55","22.3","22.3","22.3","24.6","24.6","24.6","20.45","20.45","20.45","20.3","20.3","20.3","17.55","17.55","17.55","21.5","21.5","21.5","18.15","18.15","18.15","22.55","22.55","22.55","24","24","24","20.05","20.05","20.05","20","20","20","19.05","19.05","19.05","23.65","23.65","23.65","21.35","21.35","21.35","23.75","23.75","23.75","20.7","20.7","20.7","21.3","21.3","21.3","23.85","23.85","23.85","26.4","26.4","26.4","22.3","22.3","22.3","22.8","22.8","22.8","21.95","21.95","21.95","19.2","19.2","19.2","23.75","23.75","23.75","18.6","18.6","18.6","26.7","26.7","26.7"
"16","22.8","22.8","22.8","25.65","25.65","25.65","23.1","23.1","23.1","24.55","24.55","24.55","21.15","21.15","21.15","21.5","21.5","21.5","23.6","23.6","23.6","19.6","19.6","19.6","17.2","17.2","17.2","24.8","24.8","24.8","20.7","20.7","20.7","23.15","23.15","23.15","22.55","22.55","22.55","18.95","18.95","18.95","21.2","21.2","21.2","20.6","20.6","20.6","26.4","26.4","26.4","22.7","22.7","22.7","23.05","23.05","23.05","20.55","20.55","20.55","21.4","21.4","21.4","23.2","23.2","23.2","23.1","23.1","23.1","23.95","23.95","23.95","22.25","22.25","22.25","22.45","22.45","22.45","20.95","20.95","20.95","22.7","22.7","22.7","21.25","21.25","21.25","25.35","25.35","25.35"
"18","23.1","23.1","23.1","25.25","25.25","25.25","22.8","22.8","22.8","24.95","24.95","24.95","22.2","22.2","22.2","21.8","21.8","21.8","20.95","20.95","20.95","19.9","19.9","19.9","14.6","14.6","14.6","23","23","23","19.55","19.55","19.55","21.8","21.8","21.8","20.8","20.8","20.8","19.95","19.95","19.95","22.15","22.15","22.15","19.65","19.65","19.65","25.65","25.65","25.65","22.45","22.45","22.45","22.05","22.05","22.05","19.85","19.85","19.85","21.45","21.45","21.45","25.35","25.35","25.35","26.65","26.65","26.65","21.95","21.95","21.95","23.9","23.9","23.9","22.9","22.9","22.9","19.95","19.95","19.95","21.05","21.05","21.05","20.65","20.65","20.65","26.75","26.75","26.75"
"20","23.25","23.25","23.25","23.75","23.75","23.75","23.4","23.4","23.4","23.45","23.45","23.45","21.35","21.35","21.35","22.75","22.75","22.75","23.7","23.7","23.7","20.35","20.35","20.35","21.3","21.3","21.3","21.75","21.75","21.75","20.4","20.4","20.4","24.8","24.8","24.8","22.9","22.9","22.9","19.75","19.75","19.75","24.8","24.8","24.8","20.9","20.9","20.9","25.1","25.1","25.1","20.95","20.95","20.95","22.4","22.4","22.4","19.35","19.35","19.35","21.5","21.5","21.5","25.3","25.3","25.3","24.9","24.9","24.9","20.7","20.7","20.7","25.2","25.2","25.2","20.5","20.5","20.5","23.7","23.7","23.7","21.7","21.7","21.7","22.9","22.9","22.9","25.8","25.8","25.8"