"Step","rosy-sweep-150 - test/rew_mean","rosy-sweep-150 - test/rew_mean__MIN","rosy-sweep-150 - test/rew_mean__MAX","jumping-sweep-149 - test/rew_mean","jumping-sweep-149 - test/rew_mean__MIN","jumping-sweep-149 - test/rew_mean__MAX","glad-sweep-148 - test/rew_mean","glad-sweep-148 - test/rew_mean__MIN","glad-sweep-148 - test/rew_mean__MAX","super-sweep-147 - test/rew_mean","super-sweep-147 - test/rew_mean__MIN","super-sweep-147 - test/rew_mean__MAX","charmed-sweep-146 - test/rew_mean","charmed-sweep-146 - test/rew_mean__MIN","charmed-sweep-146 - test/rew_mean__MAX","firm-sweep-145 - test/rew_mean","firm-sweep-145 - test/rew_mean__MIN","firm-sweep-145 - test/rew_mean__MAX","magic-sweep-144 - test/rew_mean","magic-sweep-144 - test/rew_mean__MIN","magic-sweep-144 - test/rew_mean__MAX","super-sweep-143 - test/rew_mean","super-sweep-143 - test/rew_mean__MIN","super-sweep-143 - test/rew_mean__MAX","dry-sweep-142 - test/rew_mean","dry-sweep-142 - test/rew_mean__MIN","dry-sweep-142 - test/rew_mean__MAX","eager-sweep-141 - test/rew_mean","eager-sweep-141 - test/rew_mean__MIN","eager-sweep-141 - test/rew_mean__MAX","leafy-sweep-140 - test/rew_mean","leafy-sweep-140 - test/rew_mean__MIN","leafy-sweep-140 - test/rew_mean__MAX","legendary-sweep-139 - test/rew_mean","legendary-sweep-139 - test/rew_mean__MIN","legendary-sweep-139 - test/rew_mean__MAX","scarlet-sweep-138 - test/rew_mean","scarlet-sweep-138 - test/rew_mean__MIN","scarlet-sweep-138 - test/rew_mean__MAX","electric-sweep-137 - test/rew_mean","electric-sweep-137 - test/rew_mean__MIN","electric-sweep-137 - test/rew_mean__MAX","sleek-sweep-136 - test/rew_mean","sleek-sweep-136 - test/rew_mean__MIN","sleek-sweep-136 - test/rew_mean__MAX","playful-sweep-135 - test/rew_mean","playful-sweep-135 - test/rew_mean__MIN","playful-sweep-135 - test/rew_mean__MAX","resilient-sweep-134 - test/rew_mean","resilient-sweep-134 - test/rew_mean__MIN","resilient-sweep-134 - test/rew_mean__MAX","generous-sweep-133 - test/rew_mean","generous-sweep-133 - test/rew_mean__MIN","generous-sweep-133 - test/rew_mean__MAX","feasible-sweep-132 - test/rew_mean","feasible-sweep-132 - test/rew_mean__MIN","feasible-sweep-132 - test/rew_mean__MAX","bright-sweep-131 - test/rew_mean","bright-sweep-131 - test/rew_mean__MIN","bright-sweep-131 - test/rew_mean__MAX","silver-sweep-130 - test/rew_mean","silver-sweep-130 - test/rew_mean__MIN","silver-sweep-130 - test/rew_mean__MAX","celestial-sweep-129 - test/rew_mean","celestial-sweep-129 - test/rew_mean__MIN","celestial-sweep-129 - test/rew_mean__MAX","faithful-sweep-128 - test/rew_mean","faithful-sweep-128 - test/rew_mean__MIN","faithful-sweep-128 - test/rew_mean__MAX","swept-sweep-127 - test/rew_mean","swept-sweep-127 - test/rew_mean__MIN","swept-sweep-127 - test/rew_mean__MAX","jumping-sweep-126 - test/rew_mean","jumping-sweep-126 - test/rew_mean__MIN","jumping-sweep-126 - test/rew_mean__MAX","firm-sweep-125 - test/rew_mean","firm-sweep-125 - test/rew_mean__MIN","firm-sweep-125 - test/rew_mean__MAX","whole-sweep-124 - test/rew_mean","whole-sweep-124 - test/rew_mean__MIN","whole-sweep-124 - test/rew_mean__MAX","fresh-sweep-123 - test/rew_mean","fresh-sweep-123 - test/rew_mean__MIN","fresh-sweep-123 - test/rew_mean__MAX","stellar-sweep-122 - test/rew_mean","stellar-sweep-122 - test/rew_mean__MIN","stellar-sweep-122 - test/rew_mean__MAX","eternal-sweep-121 - test/rew_mean","eternal-sweep-121 - test/rew_mean__MIN","eternal-sweep-121 - test/rew_mean__MAX"
"0","1.85","1.85","1.85","1.5","1.5","1.5","2.95","2.95","2.95","2.15","2.15","2.15","1.8","1.8","1.8","1.45","1.45","1.45","1.8","1.8","1.8","1.25","1.25","1.25","2.9","2.9","2.9","2.7","2.7","2.7","1.95","1.95","1.95","1.65","1.65","1.65","1.4","1.4","1.4","1.5","1.5","1.5","1.4","1.4","1.4","3","3","3","2.1","2.1","2.1","2.8","2.8","2.8","2.4","2.4","2.4","2.3","2.3","2.3","1.85","1.85","1.85","1.8","1.8","1.8","2.6","2.6","2.6","1.65","1.65","1.65","1.85","1.85","1.85","1.95","1.95","1.95","2.75","2.75","2.75","2.7","2.7","2.7","1.35","1.35","1.35","2.05","2.05","2.05"
"2","2.2","2.2","2.2","2.6","2.6","2.6","3.3","3.3","3.3","3","3","3","1.65","1.65","1.65","4.35","4.35","4.35","2.15","2.15","2.15","2.5","2.5","2.5","2.35","2.35","2.35","2.8","2.8","2.8","2.7","2.7","2.7","2.7","2.7","2.7","3.05","3.05","3.05","2.75","2.75","2.75","2.7","2.7","2.7","2.45","2.45","2.45","3","3","3","3.1","3.1","3.1","3.1","3.1","3.1","3.15","3.15","3.15","2.6","2.6","2.6","2.4","2.4","2.4","1.3","1.3","1.3","2.05","2.05","2.05","2.05","2.05","2.05","4","4","4","1.75","1.75","1.75","3.15","3.15","3.15","2.35","2.35","2.35","2.45","2.45","2.45"
"4","1.9","1.9","1.9","11.4","11.4","11.4","7.3","7.3","7.3","7.1","7.1","7.1","10.05","10.05","10.05","7.5","7.5","7.5","7.2","7.2","7.2","10.15","10.15","10.15","3.8","3.8","3.8","9.05","9.05","9.05","11.85","11.85","11.85","12.8","12.8","12.8","12.3","12.3","12.3","10.95","10.95","10.95","6.8","6.8","6.8","7.55","7.55","7.55","5.15","5.15","5.15","7.8","7.8","7.8","10.9","10.9","10.9","8.55","8.55","8.55","11.15","11.15","11.15","8","8","8","3.55","3.55","3.55","9.4","9.4","9.4","9","9","9","7.4","7.4","7.4","5","5","5","9.75","9.75","9.75","10.55","10.55","10.55","4.65","4.65","4.65"
"6","4.7","4.7","4.7","14.45","14.45","14.45","12.4","12.4","12.4","11.85","11.85","11.85","15","15","15","11.65","11.65","11.65","8.65","8.65","8.65","12.85","12.85","12.85","5.55","5.55","5.55","17","17","17","19.25","19.25","19.25","13.5","13.5","13.5","17.85","17.85","17.85","12.45","12.45","12.45","9.05","9.05","9.05","13.8","13.8","13.8","9.5","9.5","9.5","17.25","17.25","17.25","16.4","16.4","16.4","18.25","18.25","18.25","15","15","15","11.75","11.75","11.75","11.6","11.6","11.6","13.05","13.05","13.05","14","14","14","13.2","13.2","13.2","14.05","14.05","14.05","19","19","19","17.4","17.4","17.4","15.3","15.3","15.3"
"8","5.75","5.75","5.75","16.3","16.3","16.3","18.15","18.15","18.15","14.5","14.5","14.5","19.7","19.7","19.7","17.8","17.8","17.8","10.55","10.55","10.55","19.8","19.8","19.8","9.6","9.6","9.6","15.6","15.6","15.6","15.65","15.65","15.65","13.45","13.45","13.45","21.7","21.7","21.7","9","9","9","14.8","14.8","14.8","9.1","9.1","9.1","8.5","8.5","8.5","17.1","17.1","17.1","16.45","16.45","16.45","14.45","14.45","14.45","12.6","12.6","12.6","13.8","13.8","13.8","17.3","17.3","17.3","16.45","16.45","16.45","14.65","14.65","14.65","13.8","13.8","13.8","13.6","13.6","13.6","18.2","18.2","18.2","17.75","17.75","17.75","21.3","21.3","21.3"
"10","10.25","10.25","10.25","19.15","19.15","19.15","17","17","17","20.5","20.5","20.5","18.7","18.7","18.7","19.6","19.6","19.6","12.65","12.65","12.65","18.35","18.35","18.35","12.3","12.3","12.3","19.15","19.15","19.15","21.15","21.15","21.15","13.9","13.9","13.9","16.25","16.25","16.25","17.2","17.2","17.2","15.35","15.35","15.35","9.7","9.7","9.7","11.35","11.35","11.35","20.75","20.75","20.75","12.25","12.25","12.25","19.75","19.75","19.75","14.6","14.6","14.6","19.95","19.95","19.95","20.45","20.45","20.45","13.35","13.35","13.35","16.35","16.35","16.35","13.95","13.95","13.95","13.65","13.65","13.65","20.7","20.7","20.7","19.05","19.05","19.05","18.6","18.6","18.6"
"12","14.45","14.45","14.45","20.45","20.45","20.45","15.65","15.65","15.65","19.95","19.95","19.95","16.1","16.1","16.1","17.4","17.4","17.4","19.4","19.4","19.4","20.45","20.45","20.45","12.7","12.7","12.7","18.3","18.3","18.3","12.8","12.8","12.8","14.95","14.95","14.95","21.25","21.25","21.25","20.3","20.3","20.3","17.05","17.05","17.05","12.85","12.85","12.85","14.05","14.05","14.05","19.8","19.8","19.8","17.3","17.3","17.3","20.5","20.5","20.5","18.8","18.8","18.8","20.3","20.3","20.3","17.8","17.8","17.8","16.3","16.3","16.3","17.8","17.8","17.8","19.4","19.4","19.4","11.1","11.1","11.1","19.45","19.45","19.45","14.95","14.95","14.95","20.5","20.5","20.5"
"14","19.6","19.6","19.6","19.9","19.9","19.9","15.1","15.1","15.1","16.65","16.65","16.65","19.05","19.05","19.05","22.05","22.05","22.05","18.35","18.35","18.35","19.15","19.15","19.15","14.05","14.05","14.05","17.4","17.4","17.4","12.25","12.25","12.25","14.3","14.3","14.3","22.2","22.2","22.2","19.35","19.35","19.35","15","15","15","14.6","14.6","14.6","12.6","12.6","12.6","19.7","19.7","19.7","21.45","21.45","21.45","21.4","21.4","21.4","17.7","17.7","17.7","19.8","19.8","19.8","21.25","21.25","21.25","19.15","19.15","19.15","19.35","19.35","19.35","13.5","13.5","13.5","10.9","10.9","10.9","20.5","20.5","20.5","15.95","15.95","15.95","20.85","20.85","20.85"
"16","18.2","18.2","18.2","14.05","14.05","14.05","14.05","14.05","14.05","22.8","22.8","22.8","16.95","16.95","16.95","17.6","17.6","17.6","18.75","18.75","18.75","18.5","18.5","18.5","11.45","11.45","11.45","22.75","22.75","22.75","21","21","21","18.1","18.1","18.1","19.9","19.9","19.9","18.1","18.1","18.1","16.1","16.1","16.1","16.3","16.3","16.3","15.85","15.85","15.85","21.75","21.75","21.75","20.45","20.45","20.45","22.25","22.25","22.25","17","17","17","17.65","17.65","17.65","19.4","19.4","19.4","21.65","21.65","21.65","18.55","18.55","18.55","16.85","16.85","16.85","12.9","12.9","12.9","19.35","19.35","19.35","16.7","16.7","16.7","19.8","19.8","19.8"
"18","21.55","21.55","21.55","12.3","12.3","12.3","12.5","12.5","12.5","21.45","21.45","21.45","19.4","19.4","19.4","17.7","17.7","17.7","16.3","16.3","16.3","21.2","21.2","21.2","12.35","12.35","12.35","20.4","20.4","20.4","19.95","19.95","19.95","15.65","15.65","15.65","21.3","21.3","21.3","19.35","19.35","19.35","18.55","18.55","18.55","15.05","15.05","15.05","9.3","9.3","9.3","19.6","19.6","19.6","20.15","20.15","20.15","20.2","20.2","20.2","18.4","18.4","18.4","20.6","20.6","20.6","21.55","21.55","21.55","18.8","18.8","18.8","22.15","22.15","22.15","15.55","15.55","15.55","10.45","10.45","10.45","16.6","16.6","16.6","12.3","12.3","12.3","21.5","21.5","21.5"
"20","21","21","21","15.1","15.1","15.1","17.3","17.3","17.3","20.95","20.95","20.95","17.25","17.25","17.25","19.65","19.65","19.65","19.45","19.45","19.45","21.75","21.75","21.75","12.35","12.35","12.35","19.2","19.2","19.2","20.4","20.4","20.4","19.25","19.25","19.25","17.95","17.95","17.95","19.95","19.95","19.95","23.75","23.75","23.75","17.25","17.25","17.25","12.85","12.85","12.85","16.75","16.75","16.75","19.15","19.15","19.15","22.05","22.05","22.05","17.7","17.7","17.7","19.05","19.05","19.05","18.7","18.7","18.7","16.35","16.35","16.35","23.75","23.75","23.75","16.55","16.55","16.55","20.35","20.35","20.35","18.25","18.25","18.25","12.9","12.9","12.9","21.05","21.05","21.05"