"Step","ethereal-sweep-70 - test/rew_mean","ethereal-sweep-70 - test/rew_mean__MIN","ethereal-sweep-70 - test/rew_mean__MAX","sweet-sweep-69 - test/rew_mean","sweet-sweep-69 - test/rew_mean__MIN","sweet-sweep-69 - test/rew_mean__MAX","magic-sweep-68 - test/rew_mean","magic-sweep-68 - test/rew_mean__MIN","magic-sweep-68 - test/rew_mean__MAX","cool-sweep-67 - test/rew_mean","cool-sweep-67 - test/rew_mean__MIN","cool-sweep-67 - test/rew_mean__MAX","rich-sweep-66 - test/rew_mean","rich-sweep-66 - test/rew_mean__MIN","rich-sweep-66 - test/rew_mean__MAX","lucky-sweep-65 - test/rew_mean","lucky-sweep-65 - test/rew_mean__MIN","lucky-sweep-65 - test/rew_mean__MAX","stellar-sweep-64 - test/rew_mean","stellar-sweep-64 - test/rew_mean__MIN","stellar-sweep-64 - test/rew_mean__MAX","charmed-sweep-63 - test/rew_mean","charmed-sweep-63 - test/rew_mean__MIN","charmed-sweep-63 - test/rew_mean__MAX","kind-sweep-62 - test/rew_mean","kind-sweep-62 - test/rew_mean__MIN","kind-sweep-62 - test/rew_mean__MAX","sunny-sweep-61 - test/rew_mean","sunny-sweep-61 - test/rew_mean__MIN","sunny-sweep-61 - test/rew_mean__MAX"
"0","1.85","1.85","1.85","1.15","1.15","1.15","1.1","1.1","1.1","1.15","1.15","1.15","1.15","1.15","1.15","3.35","3.35","3.35","2.2","2.2","2.2","3.25","3.25","3.25","1.05","1.05","1.05","2.1","2.1","2.1"
"2","2.3","2.3","2.3","2","2","2","1.8","1.8","1.8","1.65","1.65","1.65","1.55","1.55","1.55","1.55","1.55","1.55","2.3","2.3","2.3","1.25","1.25","1.25","1.7","1.7","1.7","1.55","1.55","1.55"
"4","2.8","2.8","2.8","2.5","2.5","2.5","1.3","1.3","1.3","2.8","2.8","2.8","1.4","1.4","1.4","2.15","2.15","2.15","2.1","2.1","2.1","0.75","0.75","0.75","2.25","2.25","2.25","1.85","1.85","1.85"
"6","2.45","2.45","2.45","1.7","1.7","1.7","2.5","2.5","2.5","1.15","1.15","1.15","3.35","3.35","3.35","2.05","2.05","2.05","0.8","0.8","0.8","2.35","2.35","2.35","2.35","2.35","2.35","2.8","2.8","2.8"
"8","2.2","2.2","2.2","3","3","3","1.9","1.9","1.9","1.55","1.55","1.55","2.6","2.6","2.6","2.05","2.05","2.05","1.35","1.35","1.35","1.8","1.8","1.8","2.35","2.35","2.35","3.25","3.25","3.25"
"10","1.35","1.35","1.35","2.25","2.25","2.25","2.5","2.5","2.5","1.85","1.85","1.85","3.2","3.2","3.2","2.55","2.55","2.55","0.8","0.8","0.8","2.25","2.25","2.25","2.85","2.85","2.85","2.75","2.75","2.75"
"12","2.15","2.15","2.15","2.7","2.7","2.7","1.85","1.85","1.85","1.35","1.35","1.35","1.9","1.9","1.9","2.2","2.2","2.2","1.05","1.05","1.05","2.9","2.9","2.9","3","3","3","3.4","3.4","3.4"
"14","2.6","2.6","2.6","3.5","3.5","3.5","4.6","4.6","4.6","3","3","3","1.95","1.95","1.95","2.95","2.95","2.95","1.05","1.05","1.05","3.8","3.8","3.8","3.95","3.95","3.95","2.95","2.95","2.95"
"16","2.4","2.4","2.4","3.25","3.25","3.25","3.1","3.1","3.1","2.75","2.75","2.75","2","2","2","2.55","2.55","2.55","1.2","1.2","1.2","2.2","2.2","2.2","2.7","2.7","2.7","2.6","2.6","2.6"
"18","2","2","2","2.45","2.45","2.45","4.05","4.05","4.05","3.05","3.05","3.05","2.7","2.7","2.7","1.75","1.75","1.75","0.95","0.95","0.95","2.2","2.2","2.2","3.2","3.2","3.2","2.5","2.5","2.5"
"20","2.6","2.6","2.6","1.95","1.95","1.95","3.75","3.75","3.75","3","3","3","2.45","2.45","2.45","1.85","1.85","1.85","1.25","1.25","1.25","2.1","2.1","2.1","3.25","3.25","3.25","2.65","2.65","2.65"