"episode","distinctive-sweep-60 - _step","distinctive-sweep-60 - _step__MIN","distinctive-sweep-60 - _step__MAX","distinctive-sweep-60 - test/rew","distinctive-sweep-60 - test/rew__MIN","distinctive-sweep-60 - test/rew__MAX","dark-sweep-59 - _step","dark-sweep-59 - _step__MIN","dark-sweep-59 - _step__MAX","dark-sweep-59 - test/rew","dark-sweep-59 - test/rew__MIN","dark-sweep-59 - test/rew__MAX","peachy-sweep-58 - _step","peachy-sweep-58 - _step__MIN","peachy-sweep-58 - _step__MAX","peachy-sweep-58 - test/rew","peachy-sweep-58 - test/rew__MIN","peachy-sweep-58 - test/rew__MAX","sandy-sweep-57 - _step","sandy-sweep-57 - _step__MIN","sandy-sweep-57 - _step__MAX","sandy-sweep-57 - test/rew","sandy-sweep-57 - test/rew__MIN","sandy-sweep-57 - test/rew__MAX","earthy-sweep-56 - _step","earthy-sweep-56 - _step__MIN","earthy-sweep-56 - _step__MAX","earthy-sweep-56 - test/rew","earthy-sweep-56 - test/rew__MIN","earthy-sweep-56 - test/rew__MAX","breezy-sweep-55 - _step","breezy-sweep-55 - _step__MIN","breezy-sweep-55 - _step__MAX","breezy-sweep-55 - test/rew","breezy-sweep-55 - test/rew__MIN","breezy-sweep-55 - test/rew__MAX","fanciful-sweep-54 - _step","fanciful-sweep-54 - _step__MIN","fanciful-sweep-54 - _step__MAX","fanciful-sweep-54 - test/rew","fanciful-sweep-54 - test/rew__MIN","fanciful-sweep-54 - test/rew__MAX","likely-sweep-53 - _step","likely-sweep-53 - _step__MIN","likely-sweep-53 - _step__MAX","likely-sweep-53 - test/rew","likely-sweep-53 - test/rew__MIN","likely-sweep-53 - test/rew__MAX","robust-sweep-52 - _step","robust-sweep-52 - _step__MIN","robust-sweep-52 - _step__MAX","robust-sweep-52 - test/rew","robust-sweep-52 - test/rew__MIN","robust-sweep-52 - test/rew__MAX","avid-sweep-51 - _step","avid-sweep-51 - _step__MIN","avid-sweep-51 - _step__MAX","avid-sweep-51 - test/rew","avid-sweep-51 - test/rew__MIN","avid-sweep-51 - test/rew__MAX","lemon-sweep-50 - _step","lemon-sweep-50 - _step__MIN","lemon-sweep-50 - _step__MAX","lemon-sweep-50 - test/rew","lemon-sweep-50 - test/rew__MIN","lemon-sweep-50 - test/rew__MAX","noble-sweep-49 - _step","noble-sweep-49 - _step__MIN","noble-sweep-49 - _step__MAX","noble-sweep-49 - test/rew","noble-sweep-49 - test/rew__MIN","noble-sweep-49 - test/rew__MAX","olive-sweep-48 - _step","olive-sweep-48 - _step__MIN","olive-sweep-48 - _step__MAX","olive-sweep-48 - test/rew","olive-sweep-48 - test/rew__MIN","olive-sweep-48 - test/rew__MAX","generous-sweep-47 - _step","generous-sweep-47 - _step__MIN","generous-sweep-47 - _step__MAX","generous-sweep-47 - test/rew","generous-sweep-47 - test/rew__MIN","generous-sweep-47 - test/rew__MAX","azure-sweep-46 - _step","azure-sweep-46 - _step__MIN","azure-sweep-46 - _step__MAX","azure-sweep-46 - test/rew","azure-sweep-46 - test/rew__MIN","azure-sweep-46 - test/rew__MAX","azure-sweep-45 - _step","azure-sweep-45 - _step__MIN","azure-sweep-45 - _step__MAX","azure-sweep-45 - test/rew","azure-sweep-45 - test/rew__MIN","azure-sweep-45 - test/rew__MAX","fast-sweep-44 - _step","fast-sweep-44 - _step__MIN","fast-sweep-44 - _step__MAX","fast-sweep-44 - test/rew","fast-sweep-44 - test/rew__MIN","fast-sweep-44 - test/rew__MAX","dulcet-sweep-43 - _step","dulcet-sweep-43 - _step__MIN","dulcet-sweep-43 - _step__MAX","dulcet-sweep-43 - test/rew","dulcet-sweep-43 - test/rew__MIN","dulcet-sweep-43 - test/rew__MAX","deft-sweep-42 - _step","deft-sweep-42 - _step__MIN","deft-sweep-42 - _step__MAX","deft-sweep-42 - test/rew","deft-sweep-42 - test/rew__MIN","deft-sweep-42 - test/rew__MAX","hearty-sweep-41 - _step","hearty-sweep-41 - _step__MIN","hearty-sweep-41 - _step__MAX","hearty-sweep-41 - test/rew","hearty-sweep-41 - test/rew__MIN","hearty-sweep-41 - test/rew__MAX","colorful-sweep-40 - _step","colorful-sweep-40 - _step__MIN","colorful-sweep-40 - _step__MAX","colorful-sweep-40 - test/rew","colorful-sweep-40 - test/rew__MIN","colorful-sweep-40 - test/rew__MAX","clear-sweep-39 - _step","clear-sweep-39 - _step__MIN","clear-sweep-39 - _step__MAX","clear-sweep-39 - test/rew","clear-sweep-39 - test/rew__MIN","clear-sweep-39 - test/rew__MAX","dauntless-sweep-38 - _step","dauntless-sweep-38 - _step__MIN","dauntless-sweep-38 - _step__MAX","dauntless-sweep-38 - test/rew","dauntless-sweep-38 - test/rew__MIN","dauntless-sweep-38 - test/rew__MAX","floral-sweep-37 - _step","floral-sweep-37 - _step__MIN","floral-sweep-37 - _step__MAX","floral-sweep-37 - test/rew","floral-sweep-37 - test/rew__MIN","floral-sweep-37 - test/rew__MAX","resilient-sweep-36 - _step","resilient-sweep-36 - _step__MIN","resilient-sweep-36 - _step__MAX","resilient-sweep-36 - test/rew","resilient-sweep-36 - test/rew__MIN","resilient-sweep-36 - test/rew__MAX","spring-sweep-35 - _step","spring-sweep-35 - _step__MIN","spring-sweep-35 - _step__MAX","spring-sweep-35 - test/rew","spring-sweep-35 - test/rew__MIN","spring-sweep-35 - test/rew__MAX","ruby-sweep-34 - _step","ruby-sweep-34 - _step__MIN","ruby-sweep-34 - _step__MAX","ruby-sweep-34 - test/rew","ruby-sweep-34 - test/rew__MIN","ruby-sweep-34 - test/rew__MAX","dainty-sweep-33 - _step","dainty-sweep-33 - _step__MIN","dainty-sweep-33 - _step__MAX","dainty-sweep-33 - test/rew","dainty-sweep-33 - test/rew__MIN","dainty-sweep-33 - test/rew__MAX","ethereal-sweep-32 - _step","ethereal-sweep-32 - _step__MIN","ethereal-sweep-32 - _step__MAX","ethereal-sweep-32 - test/rew","ethereal-sweep-32 - test/rew__MIN","ethereal-sweep-32 - test/rew__MAX","amber-sweep-31 - _step","amber-sweep-31 - _step__MIN","amber-sweep-31 - _step__MAX","amber-sweep-31 - test/rew","amber-sweep-31 - test/rew__MIN","amber-sweep-31 - test/rew__MAX"
"5","0","0","0","0.4","0.4","0.4","0","0","0","1","1","1","0","0","0","1.8","1.8","1.8","0","0","0","2.6","2.6","2.6","0","0","0","0.4","0.4","0.4","0","0","0","1","1","1","0","0","0","5.4","5.4","5.4","0","0","0","1.2","1.2","1.2","0","0","0","2.6","2.6","2.6","0","0","0","1.4","1.4","1.4","0","0","0","1.2","1.2","1.2","0","0","0","2","2","2","0","0","0","1.8","1.8","1.8","0","0","0","3.8","3.8","3.8","0","0","0","1.2","1.2","1.2","0","0","0","0.4","0.4","0.4","0","0","0","3.2","3.2","3.2","0","0","0","2.2","2.2","2.2","0","0","0","0.4","0.4","0.4","0","0","0","1.4","1.4","1.4","0","0","0","2","2","2","0","0","0","1.2","1.2","1.2","0","0","0","0.6","0.6","0.6","0","0","0","1.8","1.8","1.8","0","0","0","1.6","1.6","1.6","0","0","0","0.4","0.4","0.4","0","0","0","2.4","2.4","2.4","0","0","0","0","0","0","0","0","0","0.6","0.6","0.6","0","0","0","2.8","2.8","2.8"
"10","1","1","1","1.8","1.8","1.8","1","1","1","0.8","0.8","0.8","1","1","1","1.6","1.6","1.6","1","1","1","1.8","1.8","1.8","1","1","1","2.6","2.6","2.6","1","1","1","0.4","0.4","0.4","1","1","1","3.4","3.4","3.4","1","1","1","3.6","3.6","3.6","1","1","1","3","3","3","1","1","1","3.6","3.6","3.6","1","1","1","0.4","0.4","0.4","1","1","1","1.8","1.8","1.8","1","1","1","3.6","3.6","3.6","1","1","1","2","2","2","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1.6","1.6","1.6","1","1","1","1.4","1.4","1.4","1","1","1","1.8","1.8","1.8","1","1","1","2.8","2.8","2.8","1","1","1","1.4","1.4","1.4","1","1","1","2.4","2.4","2.4","1","1","1","4","4","4","1","1","1","0.6","0.6","0.6","1","1","1","2.4","2.4","2.4","1","1","1","1","1","1","1","1","1","2.4","2.4","2.4","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","5","5","5"
"15","2","2","2","5","5","5","2","2","2","0.4","0.4","0.4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3.8","3.8","3.8","2","2","2","3.4","3.4","3.4","2","2","2","5.6","5.6","5.6","2","2","2","2.8","2.8","2.8","2","2","2","2.2","2.2","2.2","2","2","2","2","2","2","2","2","2","1.6","1.6","1.6","2","2","2","3.2","3.2","3.2","2","2","2","2.4","2.4","2.4","2","2","2","1.4","1.4","1.4","2","2","2","0.8","0.8","0.8","2","2","2","1.4","1.4","1.4","2","2","2","3.8","3.8","3.8","2","2","2","1","1","1","2","2","2","1.2","1.2","1.2","2","2","2","2","2","2","2","2","2","3","3","3","2","2","2","1.8","1.8","1.8","2","2","2","1.2","1.2","1.2","2","2","2","1.4","1.4","1.4","2","2","2","4","4","4","2","2","2","1.6","1.6","1.6","2","2","2","3.8","3.8","3.8","2","2","2","0.4","0.4","0.4","2","2","2","1.4","1.4","1.4","2","2","2","1.2","1.2","1.2"
"20","3","3","3","3.4","3.4","3.4","3","3","3","1.2","1.2","1.2","3","3","3","1.6","1.6","1.6","3","3","3","1","1","1","3","3","3","4","4","4","3","3","3","1.6","1.6","1.6","3","3","3","2","2","2","3","3","3","4.2","4.2","4.2","3","3","3","4.2","4.2","4.2","3","3","3","3.2","3.2","3.2","3","3","3","2.2","2.2","2.2","3","3","3","5.4","5.4","5.4","3","3","3","3.2","3.2","3.2","3","3","3","1.8","1.8","1.8","3","3","3","1.6","1.6","1.6","3","3","3","1.2","1.2","1.2","3","3","3","4.4","4.4","4.4","3","3","3","2.8","2.8","2.8","3","3","3","2.6","2.6","2.6","3","3","3","3.6","3.6","3.6","3","3","3","3.2","3.2","3.2","3","3","3","1.6","1.6","1.6","3","3","3","3.6","3.6","3.6","3","3","3","2.8","2.8","2.8","3","3","3","1.4","1.4","1.4","3","3","3","3.2","3.2","3.2","3","3","3","1.4","1.4","1.4","3","3","3","1","1","1","3","3","3","0.8","0.8","0.8","3","3","3","1.8","1.8","1.8"
"25","4","4","4","5.4","5.4","5.4","4","4","4","2.4","2.4","2.4","4","4","4","2.2","2.2","2.2","4","4","4","2.4","2.4","2.4","4","4","4","3.8","3.8","3.8","4","4","4","2.6","2.6","2.6","4","4","4","7.2","7.2","7.2","4","4","4","2","2","2","4","4","4","3.2","3.2","3.2","4","4","4","2.8","2.8","2.8","4","4","4","5.2","5.2","5.2","4","4","4","4","4","4","4","4","4","0.8","0.8","0.8","4","4","4","4.2","4.2","4.2","4","4","4","4","4","4","4","4","4","1.4","1.4","1.4","4","4","4","5.6","5.6","5.6","4","4","4","3","3","3","4","4","4","5.4","5.4","5.4","4","4","4","5.2","5.2","5.2","4","4","4","3.4","3.4","3.4","4","4","4","5","5","5","4","4","4","3.2","3.2","3.2","4","4","4","1.6","1.6","1.6","4","4","4","3.2","3.2","3.2","4","4","4","4.6","4.6","4.6","4","4","4","4.4","4.4","4.4","4","4","4","1.4","1.4","1.4","4","4","4","3.2","3.2","3.2","4","4","4","5.2","5.2","5.2"
"30","5","5","5","4","4","4","5","5","5","2.4","2.4","2.4","5","5","5","1.8","1.8","1.8","5","5","5","4.4","4.4","4.4","5","5","5","4","4","4","5","5","5","4","4","4","5","5","5","3","3","3","5","5","5","3.6","3.6","3.6","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","0.8","0.8","0.8","5","5","5","3","3","3","5","5","5","4.4","4.4","4.4","5","5","5","2.8","2.8","2.8","5","5","5","2","2","2","5","5","5","2.8","2.8","2.8","5","5","5","3.6","3.6","3.6","5","5","5","2","2","2","5","5","5","4","4","4","5","5","5","1.4","1.4","1.4","5","5","5","1.2","1.2","1.2","5","5","5","4.2","4.2","4.2","5","5","5","4","4","4","5","5","5","2.2","2.2","2.2","5","5","5","1.6","1.6","1.6","5","5","5","3.4","3.4","3.4","5","5","5","3.2","3.2","3.2","5","5","5","3.4","3.4","3.4","5","5","5","2.2","2.2","2.2","5","5","5","2.2","2.2","2.2"
"35","6","6","6","5.6","5.6","5.6","6","6","6","2.4","2.4","2.4","6","6","6","1.4","1.4","1.4","6","6","6","3","3","3","6","6","6","2.4","2.4","2.4","6","6","6","2.6","2.6","2.6","6","6","6","1","1","1","6","6","6","2.8","2.8","2.8","6","6","6","4.8","4.8","4.8","6","6","6","2.4","2.4","2.4","6","6","6","4.2","4.2","4.2","6","6","6","1.2","1.2","1.2","6","6","6","2.4","2.4","2.4","6","6","6","4.6","4.6","4.6","6","6","6","1.6","1.6","1.6","6","6","6","2.6","2.6","2.6","6","6","6","5","5","5","6","6","6","1.8","1.8","1.8","6","6","6","2.8","2.8","2.8","6","6","6","5","5","5","6","6","6","3.2","3.2","3.2","6","6","6","3.2","3.2","3.2","6","6","6","1.4","1.4","1.4","6","6","6","1.6","1.6","1.6","6","6","6","4.6","4.6","4.6","6","6","6","2.8","2.8","2.8","6","6","6","5.4","5.4","5.4","6","6","6","3.4","3.4","3.4","6","6","6","2","2","2","6","6","6","2.4","2.4","2.4"
"40","7","7","7","6.2","6.2","6.2","7","7","7","4","4","4","7","7","7","4.8","4.8","4.8","7","7","7","7","7","7","7","7","7","1.6","1.6","1.6","7","7","7","2.8","2.8","2.8","7","7","7","2.4","2.4","2.4","7","7","7","4.8","4.8","4.8","7","7","7","4.6","4.6","4.6","7","7","7","2.4","2.4","2.4","7","7","7","1.4","1.4","1.4","7","7","7","3.6","3.6","3.6","7","7","7","3.6","3.6","3.6","7","7","7","4","4","4","7","7","7","3","3","3","7","7","7","3.2","3.2","3.2","7","7","7","4.2","4.2","4.2","7","7","7","3","3","3","7","7","7","3.2","3.2","3.2","7","7","7","3.8","3.8","3.8","7","7","7","4","4","4","7","7","7","5","5","5","7","7","7","2.6","2.6","2.6","7","7","7","3.4","3.4","3.4","7","7","7","4.2","4.2","4.2","7","7","7","3.6","3.6","3.6","7","7","7","3.8","3.8","3.8","7","7","7","6.4","6.4","6.4","7","7","7","3","3","3","7","7","7","6","6","6"
"45","8","8","8","4.2","4.2","4.2","8","8","8","5","5","5","8","8","8","4.6","4.6","4.6","8","8","8","7.8","7.8","7.8","8","8","8","5.6","5.6","5.6","8","8","8","4.6","4.6","4.6","8","8","8","5","5","5","8","8","8","3.8","3.8","3.8","8","8","8","1.6","1.6","1.6","8","8","8","2.6","2.6","2.6","8","8","8","3.4","3.4","3.4","8","8","8","3","3","3","8","8","8","2.6","2.6","2.6","8","8","8","2.4","2.4","2.4","8","8","8","4.6","4.6","4.6","8","8","8","5.4","5.4","5.4","8","8","8","4.8","4.8","4.8","8","8","8","3.2","3.2","3.2","8","8","8","6.2","6.2","6.2","8","8","8","3.2","3.2","3.2","8","8","8","4","4","4","8","8","8","3.8","3.8","3.8","8","8","8","3","3","3","8","8","8","3","3","3","8","8","8","3.8","3.8","3.8","8","8","8","5.6","5.6","5.6","8","8","8","1.4","1.4","1.4","8","8","8","3.6","3.6","3.6","8","8","8","3","3","3","8","8","8","5","5","5"
"50","9","9","9","2.2","2.2","2.2","9","9","9","6","6","6","9","9","9","3.8","3.8","3.8","9","9","9","3.4","3.4","3.4","9","9","9","1.8","1.8","1.8","9","9","9","2.8","2.8","2.8","9","9","9","3.4","3.4","3.4","9","9","9","6.2","6.2","6.2","9","9","9","5","5","5","9","9","9","3.4","3.4","3.4","9","9","9","3.2","3.2","3.2","9","9","9","3.2","3.2","3.2","9","9","9","5.2","5.2","5.2","9","9","9","3.6","3.6","3.6","9","9","9","3.6","3.6","3.6","9","9","9","5.2","5.2","5.2","9","9","9","7.2","7.2","7.2","9","9","9","3.2","3.2","3.2","9","9","9","1.8","1.8","1.8","9","9","9","3.4","3.4","3.4","9","9","9","3.8","3.8","3.8","9","9","9","5.4","5.4","5.4","9","9","9","6.6","6.6","6.6","9","9","9","2.4","2.4","2.4","9","9","9","2.6","2.6","2.6","9","9","9","6.4","6.4","6.4","9","9","9","2.6","2.6","2.6","9","9","9","5.4","5.4","5.4","9","9","9","4.4","4.4","4.4","9","9","9","8.6","8.6","8.6"