"Step","restful-sweep-90 - test/rew_mean","restful-sweep-90 - test/rew_mean__MIN","restful-sweep-90 - test/rew_mean__MAX","vague-sweep-89 - test/rew_mean","vague-sweep-89 - test/rew_mean__MIN","vague-sweep-89 - test/rew_mean__MAX","bright-sweep-88 - test/rew_mean","bright-sweep-88 - test/rew_mean__MIN","bright-sweep-88 - test/rew_mean__MAX","chocolate-sweep-87 - test/rew_mean","chocolate-sweep-87 - test/rew_mean__MIN","chocolate-sweep-87 - test/rew_mean__MAX","cool-sweep-86 - test/rew_mean","cool-sweep-86 - test/rew_mean__MIN","cool-sweep-86 - test/rew_mean__MAX","crisp-sweep-85 - test/rew_mean","crisp-sweep-85 - test/rew_mean__MIN","crisp-sweep-85 - test/rew_mean__MAX","crimson-sweep-84 - test/rew_mean","crimson-sweep-84 - test/rew_mean__MIN","crimson-sweep-84 - test/rew_mean__MAX","rose-sweep-83 - test/rew_mean","rose-sweep-83 - test/rew_mean__MIN","rose-sweep-83 - test/rew_mean__MAX","faithful-sweep-82 - test/rew_mean","faithful-sweep-82 - test/rew_mean__MIN","faithful-sweep-82 - test/rew_mean__MAX","confused-sweep-81 - test/rew_mean","confused-sweep-81 - test/rew_mean__MIN","confused-sweep-81 - test/rew_mean__MAX","electric-sweep-80 - test/rew_mean","electric-sweep-80 - test/rew_mean__MIN","electric-sweep-80 - test/rew_mean__MAX","mild-sweep-79 - test/rew_mean","mild-sweep-79 - test/rew_mean__MIN","mild-sweep-79 - test/rew_mean__MAX","zany-sweep-78 - test/rew_mean","zany-sweep-78 - test/rew_mean__MIN","zany-sweep-78 - test/rew_mean__MAX","amber-sweep-77 - test/rew_mean","amber-sweep-77 - test/rew_mean__MIN","amber-sweep-77 - test/rew_mean__MAX","giddy-sweep-76 - test/rew_mean","giddy-sweep-76 - test/rew_mean__MIN","giddy-sweep-76 - test/rew_mean__MAX","leafy-sweep-75 - test/rew_mean","leafy-sweep-75 - test/rew_mean__MIN","leafy-sweep-75 - test/rew_mean__MAX","eternal-sweep-74 - test/rew_mean","eternal-sweep-74 - test/rew_mean__MIN","eternal-sweep-74 - test/rew_mean__MAX","scarlet-sweep-73 - test/rew_mean","scarlet-sweep-73 - test/rew_mean__MIN","scarlet-sweep-73 - test/rew_mean__MAX","giddy-sweep-72 - test/rew_mean","giddy-sweep-72 - test/rew_mean__MIN","giddy-sweep-72 - test/rew_mean__MAX","volcanic-sweep-71 - test/rew_mean","volcanic-sweep-71 - test/rew_mean__MIN","volcanic-sweep-71 - test/rew_mean__MAX","scarlet-sweep-70 - test/rew_mean","scarlet-sweep-70 - test/rew_mean__MIN","scarlet-sweep-70 - test/rew_mean__MAX","rural-sweep-69 - test/rew_mean","rural-sweep-69 - test/rew_mean__MIN","rural-sweep-69 - test/rew_mean__MAX","peachy-sweep-68 - test/rew_mean","peachy-sweep-68 - test/rew_mean__MIN","peachy-sweep-68 - test/rew_mean__MAX","peachy-sweep-67 - test/rew_mean","peachy-sweep-67 - test/rew_mean__MIN","peachy-sweep-67 - test/rew_mean__MAX","deft-sweep-66 - test/rew_mean","deft-sweep-66 - test/rew_mean__MIN","deft-sweep-66 - test/rew_mean__MAX","scarlet-sweep-65 - test/rew_mean","scarlet-sweep-65 - test/rew_mean__MIN","scarlet-sweep-65 - test/rew_mean__MAX","bright-sweep-64 - test/rew_mean","bright-sweep-64 - test/rew_mean__MIN","bright-sweep-64 - test/rew_mean__MAX","genial-sweep-63 - test/rew_mean","genial-sweep-63 - test/rew_mean__MIN","genial-sweep-63 - test/rew_mean__MAX","crisp-sweep-62 - test/rew_mean","crisp-sweep-62 - test/rew_mean__MIN","crisp-sweep-62 - test/rew_mean__MAX","restful-sweep-61 - test/rew_mean","restful-sweep-61 - test/rew_mean__MIN","restful-sweep-61 - test/rew_mean__MAX"
"0","7.65","7.65","7.65","6.2","6.2","6.2","7.6","7.6","7.6","8.85","8.85","8.85","8.95","8.95","8.95","5.45","5.45","5.45","7.95","7.95","7.95","8.1","8.1","8.1","6.85","6.85","6.85","6.75","6.75","6.75","7.3","7.3","7.3","7.95","7.95","7.95","7.15","7.15","7.15","7.2","7.2","7.2","8.15","8.15","8.15","6.7","6.7","6.7","7.7","7.7","7.7","6.65","6.65","6.65","9.4","9.4","9.4","5.95","5.95","5.95","7.3","7.3","7.3","8.7","8.7","8.7","7.3","7.3","7.3","6.25","6.25","6.25","9.85","9.85","9.85","7.95","7.95","7.95","7.25","7.25","7.25","8.7","8.7","8.7","6.05","6.05","6.05","9.05","9.05","9.05"
"2","9.8","9.8","9.8","10.7","10.7","10.7","12","12","12","10.2","10.2","10.2","11.1","11.1","11.1","10.75","10.75","10.75","10.5","10.5","10.5","11.8","11.8","11.8","10","10","10","9.15","9.15","9.15","8","8","8","10.35","10.35","10.35","6.05","6.05","6.05","10.35","10.35","10.35","8.65","8.65","8.65","8.55","8.55","8.55","10.2","10.2","10.2","10.45","10.45","10.45","9.05","9.05","9.05","9.85","9.85","9.85","9.65","9.65","9.65","8.2","8.2","8.2","9.9","9.9","9.9","10.45","10.45","10.45","10.7","10.7","10.7","8.05","8.05","8.05","12.75","12.75","12.75","8.05","8.05","8.05","6.85","6.85","6.85","8.75","8.75","8.75"
"4","12.6","12.6","12.6","8.05","8.05","8.05","10.95","10.95","10.95","12.15","12.15","12.15","14.85","14.85","14.85","12.05","12.05","12.05","11.95","11.95","11.95","11.3","11.3","11.3","7.8","7.8","7.8","10.05","10.05","10.05","9.85","9.85","9.85","8.4","8.4","8.4","6.6","6.6","6.6","13.5","13.5","13.5","9.95","9.95","9.95","12.4","12.4","12.4","10.25","10.25","10.25","7.85","7.85","7.85","12.9","12.9","12.9","10","10","10","8.9","8.9","8.9","10.25","10.25","10.25","9.45","9.45","9.45","9.3","9.3","9.3","8.1","8.1","8.1","10.25","10.25","10.25","13.25","13.25","13.25","6.75","6.75","6.75","10.4","10.4","10.4","9.35","9.35","9.35"
"6","7.85","7.85","7.85","7.6","7.6","7.6","15.95","15.95","15.95","8.2","8.2","8.2","12.9","12.9","12.9","10.1","10.1","10.1","9.7","9.7","9.7","9.95","9.95","9.95","7.75","7.75","7.75","8.35","8.35","8.35","14.1","14.1","14.1","11.75","11.75","11.75","8.7","8.7","8.7","13.8","13.8","13.8","7.65","7.65","7.65","12.1","12.1","12.1","9.75","9.75","9.75","8.75","8.75","8.75","10.85","10.85","10.85","9.2","9.2","9.2","15.4","15.4","15.4","9.85","9.85","9.85","11.35","11.35","11.35","12.55","12.55","12.55","11.7","11.7","11.7","13.2","13.2","13.2","10.7","10.7","10.7","5.8","5.8","5.8","6.35","6.35","6.35","10.85","10.85","10.85"
"8","14.8","14.8","14.8","12.35","12.35","12.35","12.95","12.95","12.95","8.05","8.05","8.05","13.2","13.2","13.2","9.9","9.9","9.9","7.85","7.85","7.85","12.05","12.05","12.05","9.1","9.1","9.1","14.85","14.85","14.85","15.45","15.45","15.45","11.75","11.75","11.75","8.1","8.1","8.1","15","15","15","9.9","9.9","9.9","8.85","8.85","8.85","10.55","10.55","10.55","11.95","11.95","11.95","11.65","11.65","11.65","12","12","12","12.45","12.45","12.45","10.75","10.75","10.75","12.4","12.4","12.4","13.2","13.2","13.2","7.4","7.4","7.4","11.25","11.25","11.25","14.9","14.9","14.9","7.95","7.95","7.95","12.45","12.45","12.45","13.65","13.65","13.65"
"10","12.7","12.7","12.7","15.45","15.45","15.45","11.15","11.15","11.15","11.3","11.3","11.3","12.2","12.2","12.2","12.25","12.25","12.25","12.15","12.15","12.15","11.9","11.9","11.9","11.75","11.75","11.75","10.65","10.65","10.65","14.2","14.2","14.2","13","13","13","8.85","8.85","8.85","12.25","12.25","12.25","12.15","12.15","12.15","11.8","11.8","11.8","10.2","10.2","10.2","14.2","14.2","14.2","10.45","10.45","10.45","11.15","11.15","11.15","13.1","13.1","13.1","12","12","12","11.85","11.85","11.85","14.55","14.55","14.55","9.3","9.3","9.3","16.25","16.25","16.25","14.5","14.5","14.5","8.9","8.9","8.9","11.55","11.55","11.55","14.05","14.05","14.05"
"12","14.65","14.65","14.65","16.8","16.8","16.8","14.55","14.55","14.55","12.6","12.6","12.6","13","13","13","14.3","14.3","14.3","14.8","14.8","14.8","12.35","12.35","12.35","12.7","12.7","12.7","9.35","9.35","9.35","12.85","12.85","12.85","11.9","11.9","11.9","11.05","11.05","11.05","16.75","16.75","16.75","14.4","14.4","14.4","12","12","12","9.4","9.4","9.4","14.8","14.8","14.8","15.3","15.3","15.3","14.4","14.4","14.4","13.45","13.45","13.45","12.9","12.9","12.9","12.1","12.1","12.1","14.95","14.95","14.95","13.15","13.15","13.15","16.2","16.2","16.2","14.9","14.9","14.9","7.85","7.85","7.85","12.4","12.4","12.4","11.95","11.95","11.95"
"14","13.3","13.3","13.3","17","17","17","10.85","10.85","10.85","10.85","10.85","10.85","11.3","11.3","11.3","13.8","13.8","13.8","13.35","13.35","13.35","9.95","9.95","9.95","11.4","11.4","11.4","12.8","12.8","12.8","14","14","14","11.5","11.5","11.5","7.8","7.8","7.8","13","13","13","8.95","8.95","8.95","13.5","13.5","13.5","11.1","11.1","11.1","13.05","13.05","13.05","16","16","16","12.05","12.05","12.05","14.6","14.6","14.6","10.45","10.45","10.45","14.2","14.2","14.2","12.4","12.4","12.4","10.55","10.55","10.55","17.9","17.9","17.9","10","10","10","6.8","6.8","6.8","15.35","15.35","15.35","12.5","12.5","12.5"
"16","12.5","12.5","12.5","15.15","15.15","15.15","9.8","9.8","9.8","12","12","12","13.55","13.55","13.55","14.9","14.9","14.9","9","9","9","11.55","11.55","11.55","11.05","11.05","11.05","14.55","14.55","14.55","12.45","12.45","12.45","12.4","12.4","12.4","11.1","11.1","11.1","11.65","11.65","11.65","12.1","12.1","12.1","10.1","10.1","10.1","8.15","8.15","8.15","16.95","16.95","16.95","17.2","17.2","17.2","17.55","17.55","17.55","11.75","11.75","11.75","15","15","15","16.7","16.7","16.7","12.7","12.7","12.7","12.6","12.6","12.6","18.7","18.7","18.7","10.6","10.6","10.6","8.25","8.25","8.25","11.55","11.55","11.55","11.65","11.65","11.65"
"18","14.15","14.15","14.15","15.6","15.6","15.6","10.1","10.1","10.1","17.85","17.85","17.85","16.5","16.5","16.5","11.6","11.6","11.6","14.05","14.05","14.05","13.6","13.6","13.6","11.5","11.5","11.5","14.85","14.85","14.85","16.55","16.55","16.55","13.2","13.2","13.2","10.05","10.05","10.05","12","12","12","15","15","15","14","14","14","13.15","13.15","13.15","16.05","16.05","16.05","16.95","16.95","16.95","14.3","14.3","14.3","12.85","12.85","12.85","13.3","13.3","13.3","13.55","13.55","13.55","11.35","11.35","11.35","14.2","14.2","14.2","19.05","19.05","19.05","16.55","16.55","16.55","9.05","9.05","9.05","10.3","10.3","10.3","13","13","13"
"20","13.2","13.2","13.2","15.7","15.7","15.7","16.2","16.2","16.2","16.45","16.45","16.45","16.3","16.3","16.3","10.85","10.85","10.85","12.1","12.1","12.1","13.2","13.2","13.2","13.55","13.55","13.55","15.4","15.4","15.4","11.8","11.8","11.8","11.4","11.4","11.4","11.05","11.05","11.05","15.45","15.45","15.45","9.9","9.9","9.9","15.7","15.7","15.7","12.8","12.8","12.8","15.1","15.1","15.1","16.25","16.25","16.25","13.9","13.9","13.9","15.35","15.35","15.35","10.75","10.75","10.75","16.75","16.75","16.75","15.95","15.95","15.95","15.3","15.3","15.3","18.5","18.5","18.5","11.25","11.25","11.25","0.8","0.8","0.8","11.3","11.3","11.3","7.75","7.75","7.75"