"Step","lilac-sweep-180 - test/rew_mean","lilac-sweep-180 - test/rew_mean__MIN","lilac-sweep-180 - test/rew_mean__MAX","sweet-sweep-179 - test/rew_mean","sweet-sweep-179 - test/rew_mean__MIN","sweet-sweep-179 - test/rew_mean__MAX","firm-sweep-178 - test/rew_mean","firm-sweep-178 - test/rew_mean__MIN","firm-sweep-178 - test/rew_mean__MAX","driven-sweep-177 - test/rew_mean","driven-sweep-177 - test/rew_mean__MIN","driven-sweep-177 - test/rew_mean__MAX","fine-sweep-176 - test/rew_mean","fine-sweep-176 - test/rew_mean__MIN","fine-sweep-176 - test/rew_mean__MAX","youthful-sweep-175 - test/rew_mean","youthful-sweep-175 - test/rew_mean__MIN","youthful-sweep-175 - test/rew_mean__MAX","rich-sweep-174 - test/rew_mean","rich-sweep-174 - test/rew_mean__MIN","rich-sweep-174 - test/rew_mean__MAX","proud-sweep-173 - test/rew_mean","proud-sweep-173 - test/rew_mean__MIN","proud-sweep-173 - test/rew_mean__MAX","frosty-sweep-172 - test/rew_mean","frosty-sweep-172 - test/rew_mean__MIN","frosty-sweep-172 - test/rew_mean__MAX","sunny-sweep-171 - test/rew_mean","sunny-sweep-171 - test/rew_mean__MIN","sunny-sweep-171 - test/rew_mean__MAX","daily-sweep-170 - test/rew_mean","daily-sweep-170 - test/rew_mean__MIN","daily-sweep-170 - test/rew_mean__MAX","lively-sweep-169 - test/rew_mean","lively-sweep-169 - test/rew_mean__MIN","lively-sweep-169 - test/rew_mean__MAX","charmed-sweep-168 - test/rew_mean","charmed-sweep-168 - test/rew_mean__MIN","charmed-sweep-168 - test/rew_mean__MAX","rural-sweep-167 - test/rew_mean","rural-sweep-167 - test/rew_mean__MIN","rural-sweep-167 - test/rew_mean__MAX","ethereal-sweep-166 - test/rew_mean","ethereal-sweep-166 - test/rew_mean__MIN","ethereal-sweep-166 - test/rew_mean__MAX","likely-sweep-165 - test/rew_mean","likely-sweep-165 - test/rew_mean__MIN","likely-sweep-165 - test/rew_mean__MAX","different-sweep-164 - test/rew_mean","different-sweep-164 - test/rew_mean__MIN","different-sweep-164 - test/rew_mean__MAX","driven-sweep-163 - test/rew_mean","driven-sweep-163 - test/rew_mean__MIN","driven-sweep-163 - test/rew_mean__MAX","rose-sweep-162 - test/rew_mean","rose-sweep-162 - test/rew_mean__MIN","rose-sweep-162 - test/rew_mean__MAX","easy-sweep-161 - test/rew_mean","easy-sweep-161 - test/rew_mean__MIN","easy-sweep-161 - test/rew_mean__MAX","hardy-sweep-160 - test/rew_mean","hardy-sweep-160 - test/rew_mean__MIN","hardy-sweep-160 - test/rew_mean__MAX","deft-sweep-159 - test/rew_mean","deft-sweep-159 - test/rew_mean__MIN","deft-sweep-159 - test/rew_mean__MAX","worthy-sweep-158 - test/rew_mean","worthy-sweep-158 - test/rew_mean__MIN","worthy-sweep-158 - test/rew_mean__MAX","hardy-sweep-157 - test/rew_mean","hardy-sweep-157 - test/rew_mean__MIN","hardy-sweep-157 - test/rew_mean__MAX","hopeful-sweep-156 - test/rew_mean","hopeful-sweep-156 - test/rew_mean__MIN","hopeful-sweep-156 - test/rew_mean__MAX","fallen-sweep-155 - test/rew_mean","fallen-sweep-155 - test/rew_mean__MIN","fallen-sweep-155 - test/rew_mean__MAX","amber-sweep-154 - test/rew_mean","amber-sweep-154 - test/rew_mean__MIN","amber-sweep-154 - test/rew_mean__MAX","robust-sweep-153 - test/rew_mean","robust-sweep-153 - test/rew_mean__MIN","robust-sweep-153 - test/rew_mean__MAX","rose-sweep-152 - test/rew_mean","rose-sweep-152 - test/rew_mean__MIN","rose-sweep-152 - test/rew_mean__MAX","denim-sweep-151 - test/rew_mean","denim-sweep-151 - test/rew_mean__MIN","denim-sweep-151 - test/rew_mean__MAX"
"0","2.3","2.3","2.3","1.15","1.15","1.15","3","3","3","1.6","1.6","1.6","2.75","2.75","2.75","1.5","1.5","1.5","2.05","2.05","2.05","2.8","2.8","2.8","1.8","1.8","1.8","1.45","1.45","1.45","0.8","0.8","0.8","2.1","2.1","2.1","1.1","1.1","1.1","1.95","1.95","1.95","1.35","1.35","1.35","1.75","1.75","1.75","1.35","1.35","1.35","1.9","1.9","1.9","1.95","1.95","1.95","1.7","1.7","1.7","1.6","1.6","1.6","1.4","1.4","1.4","1.6","1.6","1.6","1.05","1.05","1.05","1.85","1.85","1.85","1.95","1.95","1.95","1.3","1.3","1.3","3.1","3.1","3.1","1","1","1","1.2","1.2","1.2"
"2","2.55","2.55","2.55","3.15","3.15","3.15","1.3","1.3","1.3","1.85","1.85","1.85","0.85","0.85","0.85","2.55","2.55","2.55","2.25","2.25","2.25","2","2","2","1.6","1.6","1.6","1.55","1.55","1.55","1.9","1.9","1.9","1.3","1.3","1.3","2.4","2.4","2.4","1.45","1.45","1.45","1","1","1","3.4","3.4","3.4","3.15","3.15","3.15","1.2","1.2","1.2","2.25","2.25","2.25","2.2","2.2","2.2","2.35","2.35","2.35","1.8","1.8","1.8","0.95","0.95","0.95","2","2","2","1.65","1.65","1.65","2.5","2.5","2.5","1.8","1.8","1.8","2.65","2.65","2.65","1.7","1.7","1.7","3.2","3.2","3.2"
"4","1.95","1.95","1.95","3.95","3.95","3.95","1.95","1.95","1.95","2.6","2.6","2.6","3.4","3.4","3.4","4.1","4.1","4.1","2.75","2.75","2.75","1.4","1.4","1.4","1.4","1.4","1.4","2.8","2.8","2.8","3.9","3.9","3.9","2.55","2.55","2.55","3.2","3.2","3.2","6.8","6.8","6.8","5.45","5.45","5.45","6.35","6.35","6.35","3.75","3.75","3.75","3.25","3.25","3.25","3.65","3.65","3.65","2.9","2.9","2.9","3.8","3.8","3.8","1.35","1.35","1.35","4.75","4.75","4.75","3.4","3.4","3.4","1.2","1.2","1.2","1.8","1.8","1.8","3.6","3.6","3.6","3.4","3.4","3.4","2.2","2.2","2.2","4.7","4.7","4.7"
"6","4.4","4.4","4.4","3.45","3.45","3.45","5.35","5.35","5.35","4.05","4.05","4.05","2.7","2.7","2.7","4.05","4.05","4.05","4","4","4","1.3","1.3","1.3","4.9","4.9","4.9","3.7","3.7","3.7","5.75","5.75","5.75","4.3","4.3","4.3","4","4","4","8.25","8.25","8.25","3.85","3.85","3.85","7.5","7.5","7.5","5.5","5.5","5.5","5.85","5.85","5.85","1.4","1.4","1.4","2.7","2.7","2.7","12.1","12.1","12.1","3.45","3.45","3.45","5.8","5.8","5.8","7.3","7.3","7.3","4","4","4","3.15","3.15","3.15","4.15","4.15","4.15","3.8","3.8","3.8","4.25","4.25","4.25","7","7","7"
"8","6","6","6","5.75","5.75","5.75","3.7","3.7","3.7","4.6","4.6","4.6","8.9","8.9","8.9","6.75","6.75","6.75","3.95","3.95","3.95","3.65","3.65","3.65","7.15","7.15","7.15","6.1","6.1","6.1","7.05","7.05","7.05","2.45","2.45","2.45","8.75","8.75","8.75","9.25","9.25","9.25","7.65","7.65","7.65","8.65","8.65","8.65","8.25","8.25","8.25","4.45","4.45","4.45","3.2","3.2","3.2","5.9","5.9","5.9","9.9","9.9","9.9","5.5","5.5","5.5","7.35","7.35","7.35","11.35","11.35","11.35","2.95","2.95","2.95","2.25","2.25","2.25","5.9","5.9","5.9","5.5","5.5","5.5","7.15","7.15","7.15","9.2","9.2","9.2"
"10","6.05","6.05","6.05","8.9","8.9","8.9","5.1","5.1","5.1","8","8","8","6.2","6.2","6.2","8.1","8.1","8.1","7.15","7.15","7.15","3.5","3.5","3.5","7.75","7.75","7.75","5","5","5","9.1","9.1","9.1","3.55","3.55","3.55","8.4","8.4","8.4","7","7","7","10.1","10.1","10.1","10.95","10.95","10.95","8.3","8.3","8.3","6.55","6.55","6.55","2.5","2.5","2.5","6.2","6.2","6.2","10.7","10.7","10.7","10.55","10.55","10.55","6.9","6.9","6.9","12.7","12.7","12.7","3.15","3.15","3.15","2.85","2.85","2.85","6","6","6","8.7","8.7","8.7","6.25","6.25","6.25","8.45","8.45","8.45"
"12","7.05","7.05","7.05","5.25","5.25","5.25","4.1","4.1","4.1","7.25","7.25","7.25","6.9","6.9","6.9","11.4","11.4","11.4","6.3","6.3","6.3","4.9","4.9","4.9","10.6","10.6","10.6","6.8","6.8","6.8","7.95","7.95","7.95","4.9","4.9","4.9","8","8","8","9.45","9.45","9.45","10.7","10.7","10.7","7.8","7.8","7.8","5.6","5.6","5.6","6.15","6.15","6.15","8","8","8","7.9","7.9","7.9","11.7","11.7","11.7","7.15","7.15","7.15","9.1","9.1","9.1","12.6","12.6","12.6","5.7","5.7","5.7","2.05","2.05","2.05","6.85","6.85","6.85","9.25","9.25","9.25","8.4","8.4","8.4","8.8","8.8","8.8"
"14","5.3","5.3","5.3","9.15","9.15","9.15","5.85","5.85","5.85","9.95","9.95","9.95","9.15","9.15","9.15","9.35","9.35","9.35","6.35","6.35","6.35","6.05","6.05","6.05","13.45","13.45","13.45","9.95","9.95","9.95","5.45","5.45","5.45","7.8","7.8","7.8","8.4","8.4","8.4","9.05","9.05","9.05","7.25","7.25","7.25","11.4","11.4","11.4","9.65","9.65","9.65","5.55","5.55","5.55","6.05","6.05","6.05","11.55","11.55","11.55","13","13","13","7.05","7.05","7.05","10.8","10.8","10.8","10.85","10.85","10.85","6.3","6.3","6.3","4.25","4.25","4.25","5.3","5.3","5.3","7.95","7.95","7.95","8.2","8.2","8.2","11.3","11.3","11.3"
"16","5","5","5","6.25","6.25","6.25","7","7","7","6.2","6.2","6.2","13.85","13.85","13.85","10.7","10.7","10.7","5.15","5.15","5.15","8.15","8.15","8.15","8","8","8","8.4","8.4","8.4","5.75","5.75","5.75","6.5","6.5","6.5","10.5","10.5","10.5","9.5","9.5","9.5","9.15","9.15","9.15","7","7","7","4.3","4.3","4.3","9.5","9.5","9.5","6.55","6.55","6.55","11.45","11.45","11.45","9.55","9.55","9.55","10.6","10.6","10.6","14.55","14.55","14.55","9.95","9.95","9.95","7.65","7.65","7.65","4.65","4.65","4.65","5.95","5.95","5.95","6.7","6.7","6.7","7.3","7.3","7.3","12.5","12.5","12.5"
"18","6.75","6.75","6.75","9.45","9.45","9.45","7.75","7.75","7.75","8.45","8.45","8.45","12.75","12.75","12.75","8.45","8.45","8.45","8.05","8.05","8.05","8.25","8.25","8.25","9.6","9.6","9.6","8.7","8.7","8.7","6.25","6.25","6.25","8.85","8.85","8.85","7.8","7.8","7.8","9","9","9","11.7","11.7","11.7","13.35","13.35","13.35","9.05","9.05","9.05","5.8","5.8","5.8","7.9","7.9","7.9","5.5","5.5","5.5","8.4","8.4","8.4","7.8","7.8","7.8","11.9","11.9","11.9","9.45","9.45","9.45","8.2","8.2","8.2","3.7","3.7","3.7","5.15","5.15","5.15","8.65","8.65","8.65","6.7","6.7","6.7","12.1","12.1","12.1"
"20","5.6","5.6","5.6","9.5","9.5","9.5","12.15","12.15","12.15","8.95","8.95","8.95","13.6","13.6","13.6","16","16","16","9.3","9.3","9.3","8.4","8.4","8.4","10.25","10.25","10.25","8.7","8.7","8.7","7.3","7.3","7.3","6.9","6.9","6.9","9.65","9.65","9.65","11.15","11.15","11.15","10","10","10","14.7","14.7","14.7","3.6","3.6","3.6","9.3","9.3","9.3","8.9","8.9","8.9","8","8","8","10.15","10.15","10.15","9.1","9.1","9.1","12.3","12.3","12.3","13","13","13","9.1","9.1","9.1","3.35","3.35","3.35","5.95","5.95","5.95","7.85","7.85","7.85","8.95","8.95","8.95","7.45","7.45","7.45"