"Step","helpful-sweep-180 - test/rew_mean","helpful-sweep-180 - test/rew_mean__MIN","helpful-sweep-180 - test/rew_mean__MAX","valiant-sweep-179 - test/rew_mean","valiant-sweep-179 - test/rew_mean__MIN","valiant-sweep-179 - test/rew_mean__MAX","valiant-sweep-178 - test/rew_mean","valiant-sweep-178 - test/rew_mean__MIN","valiant-sweep-178 - test/rew_mean__MAX","vocal-sweep-177 - test/rew_mean","vocal-sweep-177 - test/rew_mean__MIN","vocal-sweep-177 - test/rew_mean__MAX","fallen-sweep-176 - test/rew_mean","fallen-sweep-176 - test/rew_mean__MIN","fallen-sweep-176 - test/rew_mean__MAX","mild-sweep-175 - test/rew_mean","mild-sweep-175 - test/rew_mean__MIN","mild-sweep-175 - test/rew_mean__MAX","avid-sweep-174 - test/rew_mean","avid-sweep-174 - test/rew_mean__MIN","avid-sweep-174 - test/rew_mean__MAX","ancient-sweep-173 - test/rew_mean","ancient-sweep-173 - test/rew_mean__MIN","ancient-sweep-173 - test/rew_mean__MAX","eager-sweep-172 - test/rew_mean","eager-sweep-172 - test/rew_mean__MIN","eager-sweep-172 - test/rew_mean__MAX","golden-sweep-171 - test/rew_mean","golden-sweep-171 - test/rew_mean__MIN","golden-sweep-171 - test/rew_mean__MAX","laced-sweep-170 - test/rew_mean","laced-sweep-170 - test/rew_mean__MIN","laced-sweep-170 - test/rew_mean__MAX","dulcet-sweep-169 - test/rew_mean","dulcet-sweep-169 - test/rew_mean__MIN","dulcet-sweep-169 - test/rew_mean__MAX","fancy-sweep-168 - test/rew_mean","fancy-sweep-168 - test/rew_mean__MIN","fancy-sweep-168 - test/rew_mean__MAX","zesty-sweep-167 - test/rew_mean","zesty-sweep-167 - test/rew_mean__MIN","zesty-sweep-167 - test/rew_mean__MAX","fast-sweep-166 - test/rew_mean","fast-sweep-166 - test/rew_mean__MIN","fast-sweep-166 - test/rew_mean__MAX","breezy-sweep-165 - test/rew_mean","breezy-sweep-165 - test/rew_mean__MIN","breezy-sweep-165 - test/rew_mean__MAX","radiant-sweep-164 - test/rew_mean","radiant-sweep-164 - test/rew_mean__MIN","radiant-sweep-164 - test/rew_mean__MAX","deep-sweep-163 - test/rew_mean","deep-sweep-163 - test/rew_mean__MIN","deep-sweep-163 - test/rew_mean__MAX","peachy-sweep-162 - test/rew_mean","peachy-sweep-162 - test/rew_mean__MIN","peachy-sweep-162 - test/rew_mean__MAX","desert-sweep-161 - test/rew_mean","desert-sweep-161 - test/rew_mean__MIN","desert-sweep-161 - test/rew_mean__MAX","iconic-sweep-160 - test/rew_mean","iconic-sweep-160 - test/rew_mean__MIN","iconic-sweep-160 - test/rew_mean__MAX","volcanic-sweep-159 - test/rew_mean","volcanic-sweep-159 - test/rew_mean__MIN","volcanic-sweep-159 - test/rew_mean__MAX","eternal-sweep-158 - test/rew_mean","eternal-sweep-158 - test/rew_mean__MIN","eternal-sweep-158 - test/rew_mean__MAX","sweepy-sweep-157 - test/rew_mean","sweepy-sweep-157 - test/rew_mean__MIN","sweepy-sweep-157 - test/rew_mean__MAX","lemon-sweep-156 - test/rew_mean","lemon-sweep-156 - test/rew_mean__MIN","lemon-sweep-156 - test/rew_mean__MAX","usual-sweep-155 - test/rew_mean","usual-sweep-155 - test/rew_mean__MIN","usual-sweep-155 - test/rew_mean__MAX","swept-sweep-154 - test/rew_mean","swept-sweep-154 - test/rew_mean__MIN","swept-sweep-154 - test/rew_mean__MAX","cerulean-sweep-153 - test/rew_mean","cerulean-sweep-153 - test/rew_mean__MIN","cerulean-sweep-153 - test/rew_mean__MAX","fiery-sweep-152 - test/rew_mean","fiery-sweep-152 - test/rew_mean__MIN","fiery-sweep-152 - test/rew_mean__MAX","kind-sweep-151 - test/rew_mean","kind-sweep-151 - test/rew_mean__MIN","kind-sweep-151 - test/rew_mean__MAX"
"0","1.65","1.65","1.65","1.2","1.2","1.2","2.9","2.9","2.9","1.55","1.55","1.55","1.6","1.6","1.6","2.05","2.05","2.05","2.4","2.4","2.4","1.95","1.95","1.95","2.6","2.6","2.6","3.35","3.35","3.35","0.85","0.85","0.85","1","1","1","2.2","2.2","2.2","1.9","1.9","1.9","1.45","1.45","1.45","1.95","1.95","1.95","1.8","1.8","1.8","1.6","1.6","1.6","1.65","1.65","1.65","2.05","2.05","2.05","1.75","1.75","1.75","1.85","1.85","1.85","2.95","2.95","2.95","1.5","1.5","1.5","2.05","2.05","2.05","2.85","2.85","2.85","1.8","1.8","1.8","3.55","3.55","3.55","1.05","1.05","1.05","2.15","2.15","2.15"
"2","4.2","4.2","4.2","2.95","2.95","2.95","2.9","2.9","2.9","5.75","5.75","5.75","1.55","1.55","1.55","3.35","3.35","3.35","2.95","2.95","2.95","2.5","2.5","2.5","3.1","3.1","3.1","2.15","2.15","2.15","1.6","1.6","1.6","0.4","0.4","0.4","4.4","4.4","4.4","4.05","4.05","4.05","3.05","3.05","3.05","3","3","3","3.75","3.75","3.75","5.35","5.35","5.35","5.9","5.9","5.9","2","2","2","3.2","3.2","3.2","3.6","3.6","3.6","2.65","2.65","2.65","2.3","2.3","2.3","3.4","3.4","3.4","3.3","3.3","3.3","3","3","3","2.65","2.65","2.65","5.05","5.05","5.05","2.65","2.65","2.65"
"4","6.3","6.3","6.3","3.55","3.55","3.55","4.9","4.9","4.9","9.05","9.05","9.05","2","2","2","5","5","5","4.85","4.85","4.85","4.15","4.15","4.15","1.5","1.5","1.5","4.75","4.75","4.75","1.3","1.3","1.3","0.45","0.45","0.45","6.8","6.8","6.8","7.65","7.65","7.65","5.6","5.6","5.6","4.05","4.05","4.05","3.75","3.75","3.75","6.3","6.3","6.3","6.75","6.75","6.75","1.4","1.4","1.4","6.65","6.65","6.65","3.6","3.6","3.6","3.9","3.9","3.9","5.1","5.1","5.1","2.65","2.65","2.65","3.55","3.55","3.55","0.95","0.95","0.95","0.6","0.6","0.6","9.9","9.9","9.9","3.2","3.2","3.2"
"6","5.45","5.45","5.45","2.3","2.3","2.3","8.6","8.6","8.6","12.2","12.2","12.2","3.95","3.95","3.95","7.1","7.1","7.1","5.25","5.25","5.25","7.1","7.1","7.1","1.6","1.6","1.6","6.2","6.2","6.2","6.25","6.25","6.25","0","0","0","5.6","5.6","5.6","9.45","9.45","9.45","5.7","5.7","5.7","6.4","6.4","6.4","5.45","5.45","5.45","6.85","6.85","6.85","6.65","6.65","6.65","1.45","1.45","1.45","7.75","7.75","7.75","7.35","7.35","7.35","3.8","3.8","3.8","5.85","5.85","5.85","8.25","8.25","8.25","2.9","2.9","2.9","7.15","7.15","7.15","0","0","0","10.8","10.8","10.8","6.55","6.55","6.55"
"8","6.15","6.15","6.15","4.05","4.05","4.05","10.15","10.15","10.15","10","10","10","5.35","5.35","5.35","11.25","11.25","11.25","5.5","5.5","5.5","4.85","4.85","4.85","3.6","3.6","3.6","6.95","6.95","6.95","7.45","7.45","7.45","0.55","0.55","0.55","7.85","7.85","7.85","8.6","8.6","8.6","8.2","8.2","8.2","6.1","6.1","6.1","6.05","6.05","6.05","7.35","7.35","7.35","4.1","4.1","4.1","0.85","0.85","0.85","8.4","8.4","8.4","7.55","7.55","7.55","3.6","3.6","3.6","10.45","10.45","10.45","5.7","5.7","5.7","1.75","1.75","1.75","8.75","8.75","8.75","0.4","0.4","0.4","8.6","8.6","8.6","6.6","6.6","6.6"
"10","5.55","5.55","5.55","2.65","2.65","2.65","10.45","10.45","10.45","8.75","8.75","8.75","6.7","6.7","6.7","8.3","8.3","8.3","7.1","7.1","7.1","6.9","6.9","6.9","1.45","1.45","1.45","6.85","6.85","6.85","8.75","8.75","8.75","0.4","0.4","0.4","6.4","6.4","6.4","9.55","9.55","9.55","10.95","10.95","10.95","7.05","7.05","7.05","8.2","8.2","8.2","11.4","11.4","11.4","6","6","6","2.15","2.15","2.15","6.75","6.75","6.75","7.65","7.65","7.65","3.9","3.9","3.9","6.7","6.7","6.7","8.6","8.6","8.6","2.55","2.55","2.55","10.9","10.9","10.9","0.5","0.5","0.5","9.25","9.25","9.25","6.85","6.85","6.85"
"12","5.2","5.2","5.2","3.3","3.3","3.3","12.35","12.35","12.35","6.65","6.65","6.65","5.7","5.7","5.7","10.75","10.75","10.75","8","8","8","6.4","6.4","6.4","4.3","4.3","4.3","6.65","6.65","6.65","9.6","9.6","9.6","1.75","1.75","1.75","10","10","10","8.9","8.9","8.9","9.9","9.9","9.9","8.45","8.45","8.45","10.65","10.65","10.65","9.35","9.35","9.35","8.15","8.15","8.15","6.3","6.3","6.3","7.1","7.1","7.1","9.45","9.45","9.45","7.05","7.05","7.05","9.45","9.45","9.45","5.1","5.1","5.1","2.35","2.35","2.35","14.35","14.35","14.35","0.5","0.5","0.5","10.7","10.7","10.7","7.55","7.55","7.55"
"14","5.5","5.5","5.5","2.1","2.1","2.1","9","9","9","7.25","7.25","7.25","5.65","5.65","5.65","9.3","9.3","9.3","6.15","6.15","6.15","5.25","5.25","5.25","2.45","2.45","2.45","6.55","6.55","6.55","9.8","9.8","9.8","0.5","0.5","0.5","11.8","11.8","11.8","9.3","9.3","9.3","11.05","11.05","11.05","6.2","6.2","6.2","11.1","11.1","11.1","8.5","8.5","8.5","9.05","9.05","9.05","6.95","6.95","6.95","7.35","7.35","7.35","7.95","7.95","7.95","4.45","4.45","4.45","8.8","8.8","8.8","6.9","6.9","6.9","3.65","3.65","3.65","10.5","10.5","10.5","0","0","0","8.35","8.35","8.35","6.8","6.8","6.8"
"16","6.05","6.05","6.05","3.05","3.05","3.05","8.35","8.35","8.35","7.95","7.95","7.95","5.4","5.4","5.4","8.35","8.35","8.35","8.95","8.95","8.95","6.7","6.7","6.7","2.2","2.2","2.2","5.35","5.35","5.35","11.55","11.55","11.55","0.15","0.15","0.15","12.45","12.45","12.45","10.4","10.4","10.4","12.2","12.2","12.2","6.45","6.45","6.45","9.35","9.35","9.35","10.45","10.45","10.45","12.85","12.85","12.85","7.9","7.9","7.9","8","8","8","8.45","8.45","8.45","5.6","5.6","5.6","9.95","9.95","9.95","7.2","7.2","7.2","2.6","2.6","2.6","13.55","13.55","13.55","0","0","0","8.85","8.85","8.85","7.85","7.85","7.85"
"18","5.95","5.95","5.95","4.4","4.4","4.4","9.7","9.7","9.7","9.6","9.6","9.6","6.2","6.2","6.2","9.65","9.65","9.65","6.7","6.7","6.7","5.35","5.35","5.35","1.9","1.9","1.9","6.45","6.45","6.45","9.2","9.2","9.2","0","0","0","9.15","9.15","9.15","8.85","8.85","8.85","13.65","13.65","13.65","8.15","8.15","8.15","11.75","11.75","11.75","7.2","7.2","7.2","14.9","14.9","14.9","5.95","5.95","5.95","9.45","9.45","9.45","9.15","9.15","9.15","4.05","4.05","4.05","8.8","8.8","8.8","10.85","10.85","10.85","3.35","3.35","3.35","8.2","8.2","8.2","0.3","0.3","0.3","7.35","7.35","7.35","6.8","6.8","6.8"
"20","7.15","7.15","7.15","3.85","3.85","3.85","14.55","14.55","14.55","8.85","8.85","8.85","7.6","7.6","7.6","10.75","10.75","10.75","8.3","8.3","8.3","6.1","6.1","6.1","1","1","1","5.4","5.4","5.4","9.55","9.55","9.55","0","0","0","9.65","9.65","9.65","11.7","11.7","11.7","11.1","11.1","11.1","5.8","5.8","5.8","6.85","6.85","6.85","8.65","8.65","8.65","11.7","11.7","11.7","6.95","6.95","6.95","10.2","10.2","10.2","8.65","8.65","8.65","4.9","4.9","4.9","8.2","8.2","8.2","10.5","10.5","10.5","2.2","2.2","2.2","9.8","9.8","9.8","0.15","0.15","0.15","7.75","7.75","7.75","7.35","7.35","7.35"