"Step","vital-sweep-10 - test/rew_mean","vital-sweep-10 - test/rew_mean__MIN","vital-sweep-10 - test/rew_mean__MAX","lyric-sweep-9 - test/rew_mean","lyric-sweep-9 - test/rew_mean__MIN","lyric-sweep-9 - test/rew_mean__MAX","young-sweep-8 - test/rew_mean","young-sweep-8 - test/rew_mean__MIN","young-sweep-8 - test/rew_mean__MAX","wise-sweep-7 - test/rew_mean","wise-sweep-7 - test/rew_mean__MIN","wise-sweep-7 - test/rew_mean__MAX","woven-sweep-6 - test/rew_mean","woven-sweep-6 - test/rew_mean__MIN","woven-sweep-6 - test/rew_mean__MAX","astral-sweep-5 - test/rew_mean","astral-sweep-5 - test/rew_mean__MIN","astral-sweep-5 - test/rew_mean__MAX","graceful-sweep-4 - test/rew_mean","graceful-sweep-4 - test/rew_mean__MIN","graceful-sweep-4 - test/rew_mean__MAX","royal-sweep-3 - test/rew_mean","royal-sweep-3 - test/rew_mean__MIN","royal-sweep-3 - test/rew_mean__MAX","daily-sweep-2 - test/rew_mean","daily-sweep-2 - test/rew_mean__MIN","daily-sweep-2 - test/rew_mean__MAX","radiant-sweep-1 - test/rew_mean","radiant-sweep-1 - test/rew_mean__MIN","radiant-sweep-1 - test/rew_mean__MAX"
"0","2.35","2.35","2.35","1.4","1.4","1.4","2.7","2.7","2.7","2.95","2.95","2.95","1.45","1.45","1.45","3.2","3.2","3.2","1.65","1.65","1.65","4.2","4.2","4.2","0.95","0.95","0.95","2.4","2.4","2.4"
"2","3.7","3.7","3.7","2.95","2.95","2.95","2.5","2.5","2.5","3.3","3.3","3.3","4.25","4.25","4.25","4.35","4.35","4.35","3.45","3.45","3.45","3.85","3.85","3.85","4.1","4.1","4.1","2.75","2.75","2.75"
"4","4.1","4.1","4.1","5.8","5.8","5.8","3.1","3.1","3.1","3.95","3.95","3.95","4.5","4.5","4.5","3.65","3.65","3.65","3.3","3.3","3.3","4.4","4.4","4.4","6.25","6.25","6.25","1.95","1.95","1.95"
"6","5.05","5.05","5.05","5.25","5.25","5.25","4.4","4.4","4.4","4","4","4","8.1","8.1","8.1","5.25","5.25","5.25","4.2","4.2","4.2","3.2","3.2","3.2","5.2","5.2","5.2","3","3","3"
"8","5.8","5.8","5.8","6.9","6.9","6.9","6.25","6.25","6.25","5.7","5.7","5.7","7.5","7.5","7.5","5.55","5.55","5.55","5.65","5.65","5.65","4.65","4.65","4.65","6.85","6.85","6.85","2.7","2.7","2.7"
"10","5.55","5.55","5.55","7.5","7.5","7.5","6","6","6","5.55","5.55","5.55","9","9","9","6.85","6.85","6.85","5.95","5.95","5.95","5.9","5.9","5.9","7.95","7.95","7.95","2.85","2.85","2.85"
"12","5.85","5.85","5.85","6.75","6.75","6.75","8.1","8.1","8.1","7.8","7.8","7.8","9.6","9.6","9.6","7.3","7.3","7.3","6","6","6","5.95","5.95","5.95","9.15","9.15","9.15","3.9","3.9","3.9"
"14","8.55","8.55","8.55","9.15","9.15","9.15","5.35","5.35","5.35","8.1","8.1","8.1","9.6","9.6","9.6","6.45","6.45","6.45","5.1","5.1","5.1","5.4","5.4","5.4","9.15","9.15","9.15","5.7","5.7","5.7"
"16","9.15","9.15","9.15","8.25","8.25","8.25","7.15","7.15","7.15","9.15","9.15","9.15","10.2","10.2","10.2","7.2","7.2","7.2","6.45","6.45","6.45","7.6","7.6","7.6","9.15","9.15","9.15","6.6","6.6","6.6"
"18","10.8","10.8","10.8","5.7","5.7","5.7","8.25","8.25","8.25","10","10","10","7.65","7.65","7.65","7.2","7.2","7.2","7.2","7.2","7.2","7.5","7.5","7.5","8.55","8.55","8.55","7.5","7.5","7.5"
"20","10.95","10.95","10.95","5.55","5.55","5.55","10.1","10.1","10.1","9.7","9.7","9.7","7.8","7.8","7.8","7.3","7.3","7.3","7.35","7.35","7.35","6.4","6.4","6.4","7.2","7.2","7.2","7.8","7.8","7.8"