"episode","misty-sweep-30 - _step","misty-sweep-30 - _step__MIN","misty-sweep-30 - _step__MAX","misty-sweep-30 - test/rew","misty-sweep-30 - test/rew__MIN","misty-sweep-30 - test/rew__MAX","devout-sweep-29 - _step","devout-sweep-29 - _step__MIN","devout-sweep-29 - _step__MAX","devout-sweep-29 - test/rew","devout-sweep-29 - test/rew__MIN","devout-sweep-29 - test/rew__MAX","legendary-sweep-28 - _step","legendary-sweep-28 - _step__MIN","legendary-sweep-28 - _step__MAX","legendary-sweep-28 - test/rew","legendary-sweep-28 - test/rew__MIN","legendary-sweep-28 - test/rew__MAX","worldly-sweep-27 - _step","worldly-sweep-27 - _step__MIN","worldly-sweep-27 - _step__MAX","worldly-sweep-27 - test/rew","worldly-sweep-27 - test/rew__MIN","worldly-sweep-27 - test/rew__MAX","lemon-sweep-26 - _step","lemon-sweep-26 - _step__MIN","lemon-sweep-26 - _step__MAX","lemon-sweep-26 - test/rew","lemon-sweep-26 - test/rew__MIN","lemon-sweep-26 - test/rew__MAX","deft-sweep-25 - _step","deft-sweep-25 - _step__MIN","deft-sweep-25 - _step__MAX","deft-sweep-25 - test/rew","deft-sweep-25 - test/rew__MIN","deft-sweep-25 - test/rew__MAX","sandy-sweep-24 - _step","sandy-sweep-24 - _step__MIN","sandy-sweep-24 - _step__MAX","sandy-sweep-24 - test/rew","sandy-sweep-24 - test/rew__MIN","sandy-sweep-24 - test/rew__MAX","dry-sweep-23 - _step","dry-sweep-23 - _step__MIN","dry-sweep-23 - _step__MAX","dry-sweep-23 - test/rew","dry-sweep-23 - test/rew__MIN","dry-sweep-23 - test/rew__MAX","true-sweep-22 - _step","true-sweep-22 - _step__MIN","true-sweep-22 - _step__MAX","true-sweep-22 - test/rew","true-sweep-22 - test/rew__MIN","true-sweep-22 - test/rew__MAX","dazzling-sweep-21 - _step","dazzling-sweep-21 - _step__MIN","dazzling-sweep-21 - _step__MAX","dazzling-sweep-21 - test/rew","dazzling-sweep-21 - test/rew__MIN","dazzling-sweep-21 - test/rew__MAX","helpful-sweep-20 - _step","helpful-sweep-20 - _step__MIN","helpful-sweep-20 - _step__MAX","helpful-sweep-20 - test/rew","helpful-sweep-20 - test/rew__MIN","helpful-sweep-20 - test/rew__MAX","revived-sweep-19 - _step","revived-sweep-19 - _step__MIN","revived-sweep-19 - _step__MAX","revived-sweep-19 - test/rew","revived-sweep-19 - test/rew__MIN","revived-sweep-19 - test/rew__MAX","clean-sweep-18 - _step","clean-sweep-18 - _step__MIN","clean-sweep-18 - _step__MAX","clean-sweep-18 - test/rew","clean-sweep-18 - test/rew__MIN","clean-sweep-18 - test/rew__MAX","sandy-sweep-17 - _step","sandy-sweep-17 - _step__MIN","sandy-sweep-17 - _step__MAX","sandy-sweep-17 - test/rew","sandy-sweep-17 - test/rew__MIN","sandy-sweep-17 - test/rew__MAX","electric-sweep-16 - _step","electric-sweep-16 - _step__MIN","electric-sweep-16 - _step__MAX","electric-sweep-16 - test/rew","electric-sweep-16 - test/rew__MIN","electric-sweep-16 - test/rew__MAX","absurd-sweep-15 - _step","absurd-sweep-15 - _step__MIN","absurd-sweep-15 - _step__MAX","absurd-sweep-15 - test/rew","absurd-sweep-15 - test/rew__MIN","absurd-sweep-15 - test/rew__MAX","graceful-sweep-14 - _step","graceful-sweep-14 - _step__MIN","graceful-sweep-14 - _step__MAX","graceful-sweep-14 - test/rew","graceful-sweep-14 - test/rew__MIN","graceful-sweep-14 - test/rew__MAX","morning-sweep-13 - _step","morning-sweep-13 - _step__MIN","morning-sweep-13 - _step__MAX","morning-sweep-13 - test/rew","morning-sweep-13 - test/rew__MIN","morning-sweep-13 - test/rew__MAX","different-sweep-12 - _step","different-sweep-12 - _step__MIN","different-sweep-12 - _step__MAX","different-sweep-12 - test/rew","different-sweep-12 - test/rew__MIN","different-sweep-12 - test/rew__MAX","fallen-sweep-11 - _step","fallen-sweep-11 - _step__MIN","fallen-sweep-11 - _step__MAX","fallen-sweep-11 - test/rew","fallen-sweep-11 - test/rew__MIN","fallen-sweep-11 - test/rew__MAX","distinctive-sweep-10 - _step","distinctive-sweep-10 - _step__MIN","distinctive-sweep-10 - _step__MAX","distinctive-sweep-10 - test/rew","distinctive-sweep-10 - test/rew__MIN","distinctive-sweep-10 - test/rew__MAX","sweepy-sweep-9 - _step","sweepy-sweep-9 - _step__MIN","sweepy-sweep-9 - _step__MAX","sweepy-sweep-9 - test/rew","sweepy-sweep-9 - test/rew__MIN","sweepy-sweep-9 - test/rew__MAX","fine-sweep-8 - _step","fine-sweep-8 - _step__MIN","fine-sweep-8 - _step__MAX","fine-sweep-8 - test/rew","fine-sweep-8 - test/rew__MIN","fine-sweep-8 - test/rew__MAX","super-sweep-7 - _step","super-sweep-7 - _step__MIN","super-sweep-7 - _step__MAX","super-sweep-7 - test/rew","super-sweep-7 - test/rew__MIN","super-sweep-7 - test/rew__MAX","pious-sweep-6 - _step","pious-sweep-6 - _step__MIN","pious-sweep-6 - _step__MAX","pious-sweep-6 - test/rew","pious-sweep-6 - test/rew__MIN","pious-sweep-6 - test/rew__MAX","firm-sweep-5 - _step","firm-sweep-5 - _step__MIN","firm-sweep-5 - _step__MAX","firm-sweep-5 - test/rew","firm-sweep-5 - test/rew__MIN","firm-sweep-5 - test/rew__MAX","ethereal-sweep-4 - _step","ethereal-sweep-4 - _step__MIN","ethereal-sweep-4 - _step__MAX","ethereal-sweep-4 - test/rew","ethereal-sweep-4 - test/rew__MIN","ethereal-sweep-4 - test/rew__MAX","scarlet-sweep-3 - _step","scarlet-sweep-3 - _step__MIN","scarlet-sweep-3 - _step__MAX","scarlet-sweep-3 - test/rew","scarlet-sweep-3 - test/rew__MIN","scarlet-sweep-3 - test/rew__MAX","grateful-sweep-2 - _step","grateful-sweep-2 - _step__MIN","grateful-sweep-2 - _step__MAX","grateful-sweep-2 - test/rew","grateful-sweep-2 - test/rew__MIN","grateful-sweep-2 - test/rew__MAX","sandy-sweep-1 - _step","sandy-sweep-1 - _step__MIN","sandy-sweep-1 - _step__MAX","sandy-sweep-1 - test/rew","sandy-sweep-1 - test/rew__MIN","sandy-sweep-1 - test/rew__MAX"
"5","0","0","0","3.6","3.6","3.6","0","0","0","3","3","3","0","0","0","1.8","1.8","1.8","0","0","0","4","4","4","0","0","0","3","3","3","0","0","0","2.4","2.4","2.4","0","0","0","6.4","6.4","6.4","0","0","0","2.4","2.4","2.4","0","0","0","2.4","2.4","2.4","0","0","0","3","3","3","0","0","0","2.4","2.4","2.4","0","0","0","8","8","8","0","0","0","2.4","2.4","2.4","0","0","0","6.6","6.6","6.6","0","0","0","4.2","4.2","4.2","0","0","0","2.4","2.4","2.4","0","0","0","5.4","5.4","5.4","0","0","0","3","3","3","0","0","0","4.8","4.8","4.8","0","0","0","3","3","3","0","0","0","3.6","3.6","3.6","0","0","0","5.4","5.4","5.4","0","0","0","6.6","6.6","6.6","0","0","0","4.2","4.2","4.2","0","0","0","5.4","5.4","5.4","0","0","0","2.4","2.4","2.4","0","0","0","3","3","3","0","0","0","3.6","3.6","3.6","0","0","0","8","8","8","0","0","0","2.4","2.4","2.4"
"10","1","1","1","9.6","9.6","9.6","1","1","1","5.4","5.4","5.4","1","1","1","6.6","6.6","6.6","1","1","1","6","6","6","1","1","1","6","6","6","1","1","1","6","6","6","1","1","1","8.4","8.4","8.4","1","1","1","8.4","8.4","8.4","1","1","1","4.2","4.2","4.2","1","1","1","5.4","5.4","5.4","1","1","1","9","9","9","1","1","1","6.6","6.6","6.6","1","1","1","6","6","6","1","1","1","8.4","8.4","8.4","1","1","1","9","9","9","1","1","1","5.4","5.4","5.4","1","1","1","8.4","8.4","8.4","1","1","1","6.6","6.6","6.6","1","1","1","7.2","7.2","7.2","1","1","1","6.6","6.6","6.6","1","1","1","6","6","6","1","1","1","8.4","8.4","8.4","1","1","1","9.6","9.6","9.6","1","1","1","8.4","8.4","8.4","1","1","1","9","9","9","1","1","1","9.6","9.6","9.6","1","1","1","5.4","5.4","5.4","1","1","1","8.4","8.4","8.4","1","1","1","10.8","10.8","10.8","1","1","1","5.4","5.4","5.4"
"15","2","2","2","9","9","9","2","2","2","13.8","13.8","13.8","2","2","2","10.8","10.8","10.8","2","2","2","7.8","7.8","7.8","2","2","2","11.4","11.4","11.4","2","2","2","9","9","9","2","2","2","10.2","10.2","10.2","2","2","2","11.4","11.4","11.4","2","2","2","9","9","9","2","2","2","8.4","8.4","8.4","2","2","2","11.4","11.4","11.4","2","2","2","10.8","10.8","10.8","2","2","2","8.4","8.4","8.4","2","2","2","7.2","7.2","7.2","2","2","2","12.6","12.6","12.6","2","2","2","6.6","6.6","6.6","2","2","2","10.2","10.2","10.2","2","2","2","10.2","10.2","10.2","2","2","2","8.4","8.4","8.4","2","2","2","9.6","9.6","9.6","2","2","2","10.2","10.2","10.2","2","2","2","11.4","11.4","11.4","2","2","2","10.8","10.8","10.8","2","2","2","10.2","10.2","10.2","2","2","2","9.6","9.6","9.6","2","2","2","9.6","9.6","9.6","2","2","2","10.2","10.2","10.2","2","2","2","10.2","10.2","10.2","2","2","2","13.2","13.2","13.2","2","2","2","7.8","7.8","7.8"
"20","3","3","3","13.2","13.2","13.2","3","3","3","13.8","13.8","13.8","3","3","3","11.4","11.4","11.4","3","3","3","10","10","10","3","3","3","11.4","11.4","11.4","3","3","3","10.8","10.8","10.8","3","3","3","13.8","13.8","13.8","3","3","3","11.4","11.4","11.4","3","3","3","12","12","12","3","3","3","9.6","9.6","9.6","3","3","3","12.6","12.6","12.6","3","3","3","12.6","12.6","12.6","3","3","3","12","12","12","3","3","3","10.8","10.8","10.8","3","3","3","13.2","13.2","13.2","3","3","3","7.2","7.2","7.2","3","3","3","12","12","12","3","3","3","11.4","11.4","11.4","3","3","3","9.6","9.6","9.6","3","3","3","11.4","11.4","11.4","3","3","3","10.8","10.8","10.8","3","3","3","14.4","14.4","14.4","3","3","3","12.6","12.6","12.6","3","3","3","13.2","13.2","13.2","3","3","3","13.8","13.8","13.8","3","3","3","12","12","12","3","3","3","11.4","11.4","11.4","3","3","3","12","12","12","3","3","3","12.6","12.6","12.6","3","3","3","8.4","8.4","8.4"
"25","4","4","4","12.6","12.6","12.6","4","4","4","15.6","15.6","15.6","4","4","4","18","18","18","4","4","4","7.2","7.2","7.2","4","4","4","12.6","12.6","12.6","4","4","4","11.4","11.4","11.4","4","4","4","16.8","16.8","16.8","4","4","4","15","15","15","4","4","4","15.6","15.6","15.6","4","4","4","12","12","12","4","4","4","13.2","13.2","13.2","4","4","4","17.4","17.4","17.4","4","4","4","13.2","13.2","13.2","4","4","4","16.2","16.2","16.2","4","4","4","17.4","17.4","17.4","4","4","4","10.8","10.8","10.8","4","4","4","13.8","13.8","13.8","4","4","4","13.8","13.8","13.8","4","4","4","10.8","10.8","10.8","4","4","4","14.4","14.4","14.4","4","4","4","13.2","13.2","13.2","4","4","4","16.2","16.2","16.2","4","4","4","15","15","15","4","4","4","13.2","13.2","13.2","4","4","4","15.6","15.6","15.6","4","4","4","12.6","12.6","12.6","4","4","4","11.4","11.4","11.4","4","4","4","13.8","13.8","13.8","4","4","4","16.2","16.2","16.2","4","4","4","13.2","13.2","13.2"
"30","5","5","5","13.8","13.8","13.8","5","5","5","14.4","14.4","14.4","5","5","5","16.8","16.8","16.8","5","5","5","13.8","13.8","13.8","5","5","5","15.6","15.6","15.6","5","5","5","13.8","13.8","13.8","5","5","5","15.6","15.6","15.6","5","5","5","13.8","13.8","13.8","5","5","5","15.6","15.6","15.6","5","5","5","13.8","13.8","13.8","5","5","5","15.6","15.6","15.6","5","5","5","17.4","17.4","17.4","5","5","5","15.6","15.6","15.6","5","5","5","13.8","13.8","13.8","5","5","5","15.6","15.6","15.6","5","5","5","14.4","14.4","14.4","5","5","5","16.8","16.8","16.8","5","5","5","16.2","16.2","16.2","5","5","5","12.6","12.6","12.6","5","5","5","18","18","18","5","5","5","13.8","13.8","13.8","5","5","5","16.8","16.8","16.8","5","5","5","16.8","16.8","16.8","5","5","5","10.8","10.8","10.8","5","5","5","18","18","18","5","5","5","14.4","14.4","14.4","5","5","5","11.4","11.4","11.4","5","5","5","15","15","15","5","5","5","13.8","13.8","13.8","5","5","5","13.8","13.8","13.8"
"35","6","6","6","14.4","14.4","14.4","6","6","6","17.4","17.4","17.4","6","6","6","20.4","20.4","20.4","6","6","6","10.8","10.8","10.8","6","6","6","16.8","16.8","16.8","6","6","6","15","15","15","6","6","6","15","15","15","6","6","6","18","18","18","6","6","6","17.4","17.4","17.4","6","6","6","16.2","16.2","16.2","6","6","6","16.8","16.8","16.8","6","6","6","19.2","19.2","19.2","6","6","6","13.8","13.8","13.8","6","6","6","14.4","14.4","14.4","6","6","6","16.8","16.8","16.8","6","6","6","12.6","12.6","12.6","6","6","6","15.6","15.6","15.6","6","6","6","18","18","18","6","6","6","15.6","15.6","15.6","6","6","6","15.6","15.6","15.6","6","6","6","16.8","16.8","16.8","6","6","6","19.2","19.2","19.2","6","6","6","19.2","19.2","19.2","6","6","6","15.6","15.6","15.6","6","6","6","16.2","16.2","16.2","6","6","6","15","15","15","6","6","6","16.2","16.2","16.2","6","6","6","16.2","16.2","16.2","6","6","6","15","15","15","6","6","6","15.6","15.6","15.6"
"40","7","7","7","14.4","14.4","14.4","7","7","7","20.4","20.4","20.4","7","7","7","19.2","19.2","19.2","7","7","7","13.8","13.8","13.8","7","7","7","16.8","16.8","16.8","7","7","7","16.8","16.8","16.8","7","7","7","18","18","18","7","7","7","16.8","16.8","16.8","7","7","7","18","18","18","7","7","7","17.4","17.4","17.4","7","7","7","17.4","17.4","17.4","7","7","7","19.2","19.2","19.2","7","7","7","16.8","16.8","16.8","7","7","7","18","18","18","7","7","7","21.6","21.6","21.6","7","7","7","12.6","12.6","12.6","7","7","7","15","15","15","7","7","7","15","15","15","7","7","7","15.6","15.6","15.6","7","7","7","18.6","18.6","18.6","7","7","7","18","18","18","7","7","7","18.6","18.6","18.6","7","7","7","17.4","17.4","17.4","7","7","7","15","15","15","7","7","7","16.2","16.2","16.2","7","7","7","18.6","18.6","18.6","7","7","7","18","18","18","7","7","7","16.8","16.8","16.8","7","7","7","18.6","18.6","18.6","7","7","7","15","15","15"
"45","8","8","8","13.8","13.8","13.8","8","8","8","22.2","22.2","22.2","8","8","8","17.4","17.4","17.4","8","8","8","12","12","12","8","8","8","16.8","16.8","16.8","8","8","8","18","18","18","8","8","8","19.2","19.2","19.2","8","8","8","21.6","21.6","21.6","8","8","8","18","18","18","8","8","8","19.2","19.2","19.2","8","8","8","18.6","18.6","18.6","8","8","8","19.8","19.8","19.8","8","8","8","17.4","17.4","17.4","8","8","8","19.8","19.8","19.8","8","8","8","21.6","21.6","21.6","8","8","8","15.6","15.6","15.6","8","8","8","18","18","18","8","8","8","19.2","19.2","19.2","8","8","8","18.6","18.6","18.6","8","8","8","19.2","19.2","19.2","8","8","8","17.4","17.4","17.4","8","8","8","19.2","19.2","19.2","8","8","8","20.4","20.4","20.4","8","8","8","15.6","15.6","15.6","8","8","8","17.4","17.4","17.4","8","8","8","17.4","17.4","17.4","8","8","8","16.8","16.8","16.8","8","8","8","18","18","18","8","8","8","19.2","19.2","19.2","8","8","8","15","15","15"
"50","9","9","9","16.8","16.8","16.8","9","9","9","22.2","22.2","22.2","9","9","9","19.8","19.8","19.8","9","9","9","14.4","14.4","14.4","9","9","9","18.6","18.6","18.6","9","9","9","19.2","19.2","19.2","9","9","9","18.6","18.6","18.6","9","9","9","14.4","14.4","14.4","9","9","9","19.8","19.8","19.8","9","9","9","17.4","17.4","17.4","9","9","9","18","18","18","9","9","9","19.8","19.8","19.8","9","9","9","21","21","21","9","9","9","20.4","20.4","20.4","9","9","9","20.4","20.4","20.4","9","9","9","16.8","16.8","16.8","9","9","9","17.4","17.4","17.4","9","9","9","17.4","17.4","17.4","9","9","9","16.8","16.8","16.8","9","9","9","13.8","13.8","13.8","9","9","9","16.2","16.2","16.2","9","9","9","19.8","19.8","19.8","9","9","9","18.6","18.6","18.6","9","9","9","19.2","19.2","19.2","9","9","9","21","21","21","9","9","9","19.8","19.8","19.8","9","9","9","16.8","16.8","16.8","9","9","9","18","18","18","9","9","9","21.6","21.6","21.6","9","9","9","16.2","16.2","16.2"