"Step","misty-sweep-120 - test/rew_mean","misty-sweep-120 - test/rew_mean__MIN","misty-sweep-120 - test/rew_mean__MAX","sandy-sweep-119 - test/rew_mean","sandy-sweep-119 - test/rew_mean__MIN","sandy-sweep-119 - test/rew_mean__MAX","summer-sweep-118 - test/rew_mean","summer-sweep-118 - test/rew_mean__MIN","summer-sweep-118 - test/rew_mean__MAX","cerulean-sweep-117 - test/rew_mean","cerulean-sweep-117 - test/rew_mean__MIN","cerulean-sweep-117 - test/rew_mean__MAX","vivid-sweep-116 - test/rew_mean","vivid-sweep-116 - test/rew_mean__MIN","vivid-sweep-116 - test/rew_mean__MAX","true-sweep-115 - test/rew_mean","true-sweep-115 - test/rew_mean__MIN","true-sweep-115 - test/rew_mean__MAX","stellar-sweep-114 - test/rew_mean","stellar-sweep-114 - test/rew_mean__MIN","stellar-sweep-114 - test/rew_mean__MAX","blooming-sweep-113 - test/rew_mean","blooming-sweep-113 - test/rew_mean__MIN","blooming-sweep-113 - test/rew_mean__MAX","grateful-sweep-112 - test/rew_mean","grateful-sweep-112 - test/rew_mean__MIN","grateful-sweep-112 - test/rew_mean__MAX","dandy-sweep-111 - test/rew_mean","dandy-sweep-111 - test/rew_mean__MIN","dandy-sweep-111 - test/rew_mean__MAX","rare-sweep-110 - test/rew_mean","rare-sweep-110 - test/rew_mean__MIN","rare-sweep-110 - test/rew_mean__MAX","resilient-sweep-109 - test/rew_mean","resilient-sweep-109 - test/rew_mean__MIN","resilient-sweep-109 - test/rew_mean__MAX","warm-sweep-108 - test/rew_mean","warm-sweep-108 - test/rew_mean__MIN","warm-sweep-108 - test/rew_mean__MAX","unique-sweep-107 - test/rew_mean","unique-sweep-107 - test/rew_mean__MIN","unique-sweep-107 - test/rew_mean__MAX","distinctive-sweep-106 - test/rew_mean","distinctive-sweep-106 - test/rew_mean__MIN","distinctive-sweep-106 - test/rew_mean__MAX","glowing-sweep-105 - test/rew_mean","glowing-sweep-105 - test/rew_mean__MIN","glowing-sweep-105 - test/rew_mean__MAX","wobbly-sweep-104 - test/rew_mean","wobbly-sweep-104 - test/rew_mean__MIN","wobbly-sweep-104 - test/rew_mean__MAX","radiant-sweep-103 - test/rew_mean","radiant-sweep-103 - test/rew_mean__MIN","radiant-sweep-103 - test/rew_mean__MAX","fluent-sweep-102 - test/rew_mean","fluent-sweep-102 - test/rew_mean__MIN","fluent-sweep-102 - test/rew_mean__MAX","sunny-sweep-101 - test/rew_mean","sunny-sweep-101 - test/rew_mean__MIN","sunny-sweep-101 - test/rew_mean__MAX","young-sweep-100 - test/rew_mean","young-sweep-100 - test/rew_mean__MIN","young-sweep-100 - test/rew_mean__MAX","jolly-sweep-99 - test/rew_mean","jolly-sweep-99 - test/rew_mean__MIN","jolly-sweep-99 - test/rew_mean__MAX","comfy-sweep-98 - test/rew_mean","comfy-sweep-98 - test/rew_mean__MIN","comfy-sweep-98 - test/rew_mean__MAX","prime-sweep-97 - test/rew_mean","prime-sweep-97 - test/rew_mean__MIN","prime-sweep-97 - test/rew_mean__MAX","golden-sweep-96 - test/rew_mean","golden-sweep-96 - test/rew_mean__MIN","golden-sweep-96 - test/rew_mean__MAX","jumping-sweep-95 - test/rew_mean","jumping-sweep-95 - test/rew_mean__MIN","jumping-sweep-95 - test/rew_mean__MAX","neat-sweep-94 - test/rew_mean","neat-sweep-94 - test/rew_mean__MIN","neat-sweep-94 - test/rew_mean__MAX","curious-sweep-93 - test/rew_mean","curious-sweep-93 - test/rew_mean__MIN","curious-sweep-93 - test/rew_mean__MAX","lucky-sweep-92 - test/rew_mean","lucky-sweep-92 - test/rew_mean__MIN","lucky-sweep-92 - test/rew_mean__MAX","rural-sweep-91 - test/rew_mean","rural-sweep-91 - test/rew_mean__MIN","rural-sweep-91 - test/rew_mean__MAX"
"0","2.75","2.75","2.75","2.15","2.15","2.15","2.55","2.55","2.55","1.2","1.2","1.2","2.15","2.15","2.15","1.85","1.85","1.85","1.45","1.45","1.45","1.95","1.95","1.95","2.8","2.8","2.8","2.2","2.2","2.2","2","2","2","2.05","2.05","2.05","2.25","2.25","2.25","2.8","2.8","2.8","2","2","2","4.05","4.05","4.05","3.6","3.6","3.6","3.4","3.4","3.4","3.2","3.2","3.2","2.15","2.15","2.15","1.9","1.9","1.9","1.75","1.75","1.75","3.2","3.2","3.2","2.25","2.25","2.25","1.7","1.7","1.7","3","3","3","2.3","2.3","2.3","2.95","2.95","2.95","1.25","1.25","1.25","3.15","3.15","3.15"
"2","3","3","3","2.7","2.7","2.7","2.35","2.35","2.35","3.9","3.9","3.9","1.2","1.2","1.2","4.85","4.85","4.85","2.2","2.2","2.2","2.55","2.55","2.55","3.8","3.8","3.8","2.3","2.3","2.3","2.25","2.25","2.25","3.8","3.8","3.8","3.35","3.35","3.35","2.65","2.65","2.65","2.85","2.85","2.85","2.95","2.95","2.95","2.05","2.05","2.05","3.55","3.55","3.55","4.25","4.25","4.25","3.4","3.4","3.4","3.5","3.5","3.5","2.6","2.6","2.6","1.45","1.45","1.45","3.8","3.8","3.8","3.1","3.1","3.1","3.15","3.15","3.15","1.55","1.55","1.55","2.5","2.5","2.5","1.35","1.35","1.35","3.2","3.2","3.2"
"4","11.8","11.8","11.8","12.6","12.6","12.6","12.55","12.55","12.55","10.9","10.9","10.9","10.5","10.5","10.5","11.15","11.15","11.15","9.6","9.6","9.6","7.65","7.65","7.65","9.8","9.8","9.8","11.1","11.1","11.1","9.15","9.15","9.15","11.4","11.4","11.4","14.75","14.75","14.75","5.1","5.1","5.1","15.55","15.55","15.55","4.15","4.15","4.15","11.8","11.8","11.8","7.6","7.6","7.6","5.65","5.65","5.65","8.5","8.5","8.5","14.8","14.8","14.8","9.15","9.15","9.15","6.25","6.25","6.25","10.65","10.65","10.65","18.05","18.05","18.05","4.95","4.95","4.95","2.5","2.5","2.5","5.85","5.85","5.85","10.05","10.05","10.05","12.6","12.6","12.6"
"6","16.35","16.35","16.35","19.5","19.5","19.5","18.1","18.1","18.1","14.85","14.85","14.85","16.3","16.3","16.3","20.2","20.2","20.2","17.75","17.75","17.75","16.95","16.95","16.95","15.6","15.6","15.6","15.7","15.7","15.7","16.6","16.6","16.6","14.65","14.65","14.65","22.35","22.35","22.35","11.55","11.55","11.55","18.45","18.45","18.45","16.35","16.35","16.35","17.15","17.15","17.15","14.15","14.15","14.15","11.9","11.9","11.9","14.25","14.25","14.25","18.4","18.4","18.4","22.1","22.1","22.1","13.25","13.25","13.25","18.6","18.6","18.6","18.15","18.15","18.15","10.3","10.3","10.3","5.4","5.4","5.4","13.55","13.55","13.55","17.1","17.1","17.1","16.05","16.05","16.05"
"8","18.75","18.75","18.75","18.95","18.95","18.95","19.6","19.6","19.6","16.5","16.5","16.5","22.65","22.65","22.65","22","22","22","20.15","20.15","20.15","21.9","21.9","21.9","12.75","12.75","12.75","17.6","17.6","17.6","18.95","18.95","18.95","20.85","20.85","20.85","21","21","21","15.75","15.75","15.75","22.85","22.85","22.85","18.45","18.45","18.45","23.25","23.25","23.25","16.5","16.5","16.5","21.7","21.7","21.7","20.65","20.65","20.65","21.1","21.1","21.1","21.45","21.45","21.45","20.85","20.85","20.85","21.15","21.15","21.15","23.05","23.05","23.05","21.5","21.5","21.5","12","12","12","19.05","19.05","19.05","22.95","22.95","22.95","21.45","21.45","21.45"
"10","25.5","25.5","25.5","21.45","21.45","21.45","21.75","21.75","21.75","18.75","18.75","18.75","16.85","16.85","16.85","21.3","21.3","21.3","20.45","20.45","20.45","21.15","21.15","21.15","23.25","23.25","23.25","21.3","21.3","21.3","27.75","27.75","27.75","18.65","18.65","18.65","21.75","21.75","21.75","18.75","18.75","18.75","26.1","26.1","26.1","21.15","21.15","21.15","24","24","24","20.85","20.85","20.85","22.25","22.25","22.25","20.8","20.8","20.8","20.25","20.25","20.25","20.7","20.7","20.7","20.1","20.1","20.1","22.5","22.5","22.5","25.5","25.5","25.5","21.6","21.6","21.6","15","15","15","21","21","21","21.75","21.75","21.75","22.8","22.8","22.8"
"12","23.55","23.55","23.55","24.75","24.75","24.75","23.85","23.85","23.85","17.25","17.25","17.25","20.85","20.85","20.85","16.65","16.65","16.65","23.85","23.85","23.85","20.05","20.05","20.05","24.75","24.75","24.75","21.75","21.75","21.75","22.05","22.05","22.05","20.7","20.7","20.7","16.45","16.45","16.45","17.85","17.85","17.85","17.85","17.85","17.85","18.6","18.6","18.6","21.6","21.6","21.6","24","24","24","22.5","22.5","22.5","20.1","20.1","20.1","22.2","22.2","22.2","23.25","23.25","23.25","19.2","19.2","19.2","21.75","21.75","21.75","22.95","22.95","22.95","19.65","19.65","19.65","14.55","14.55","14.55","23.25","23.25","23.25","21","21","21","19.95","19.95","19.95"
"14","22.35","22.35","22.35","22.5","22.5","22.5","25.2","25.2","25.2","18.15","18.15","18.15","23.25","23.25","23.25","23.55","23.55","23.55","22.8","22.8","22.8","24.9","24.9","24.9","23.55","23.55","23.55","22.05","22.05","22.05","24","24","24","23.5","23.5","23.5","23.55","23.55","23.55","18.6","18.6","18.6","22.5","22.5","22.5","21","21","21","22.5","22.5","22.5","21.75","21.75","21.75","21.15","21.15","21.15","18.45","18.45","18.45","22.5","22.5","22.5","22.8","22.8","22.8","23.4","23.4","23.4","22.8","22.8","22.8","21.75","21.75","21.75","24.5","24.5","24.5","13.8","13.8","13.8","22.5","22.5","22.5","21","21","21","23.25","23.25","23.25"
"16","24","24","24","22.5","22.5","22.5","21","21","21","20.1","20.1","20.1","21.9","21.9","21.9","20.55","20.55","20.55","23.55","23.55","23.55","22.2","22.2","22.2","22.5","22.5","22.5","21.75","21.75","21.75","24.75","24.75","24.75","23.85","23.85","23.85","18","18","18","17.55","17.55","17.55","24","24","24","25.5","25.5","25.5","20.25","20.25","20.25","24.75","24.75","24.75","22.5","22.5","22.5","24","24","24","24.75","24.75","24.75","22.5","22.5","22.5","22.8","22.8","22.8","21","21","21","20.25","20.25","20.25","25.5","25.5","25.5","14.55","14.55","14.55","18","18","18","20.55","20.55","20.55","20.25","20.25","20.25"
"18","21.75","21.75","21.75","23.25","23.25","23.25","22.5","22.5","22.5","22.95","22.95","22.95","25.5","25.5","25.5","20.55","20.55","20.55","20.85","20.85","20.85","19.2","19.2","19.2","21.15","21.15","21.15","22.5","22.5","22.5","24","24","24","20.7","20.7","20.7","20.4","20.4","20.4","18.15","18.15","18.15","23.25","23.25","23.25","21.75","21.75","21.75","25.65","25.65","25.65","23.25","23.25","23.25","23.25","23.25","23.25","25.5","25.5","25.5","22.5","22.5","22.5","20.95","20.95","20.95","24","24","24","22.5","22.5","22.5","21.55","21.55","21.55","24.75","24.75","24.75","13.35","13.35","13.35","23.25","23.25","23.25","24","24","24","19.8","19.8","19.8"
"20","22.5","22.5","22.5","24.75","24.75","24.75","20.25","20.25","20.25","24.6","24.6","24.6","22.65","22.65","22.65","22.95","22.95","22.95","23.25","23.25","23.25","20.7","20.7","20.7","20.25","20.25","20.25","20.25","20.25","20.25","19.65","19.65","19.65","27.75","27.75","27.75","23.25","23.25","23.25","21.3","21.3","21.3","19.5","19.5","19.5","23.25","23.25","23.25","21","21","21","24","24","24","21.4","21.4","21.4","21.75","21.75","21.75","22.5","22.5","22.5","23.25","23.25","23.25","20.4","20.4","20.4","21.75","21.75","21.75","20.25","20.25","20.25","23.55","23.55","23.55","17.55","17.55","17.55","21","21","21","23.25","23.25","23.25","20.25","20.25","20.25"