"Step","eager-sweep-90 - test/rew_mean","eager-sweep-90 - test/rew_mean__MIN","eager-sweep-90 - test/rew_mean__MAX","divine-sweep-89 - test/rew_mean","divine-sweep-89 - test/rew_mean__MIN","divine-sweep-89 - test/rew_mean__MAX","lucky-sweep-88 - test/rew_mean","lucky-sweep-88 - test/rew_mean__MIN","lucky-sweep-88 - test/rew_mean__MAX","misunderstood-sweep-87 - test/rew_mean","misunderstood-sweep-87 - test/rew_mean__MIN","misunderstood-sweep-87 - test/rew_mean__MAX","skilled-sweep-86 - test/rew_mean","skilled-sweep-86 - test/rew_mean__MIN","skilled-sweep-86 - test/rew_mean__MAX","rare-sweep-85 - test/rew_mean","rare-sweep-85 - test/rew_mean__MIN","rare-sweep-85 - test/rew_mean__MAX","honest-sweep-84 - test/rew_mean","honest-sweep-84 - test/rew_mean__MIN","honest-sweep-84 - test/rew_mean__MAX","polar-sweep-83 - test/rew_mean","polar-sweep-83 - test/rew_mean__MIN","polar-sweep-83 - test/rew_mean__MAX","hearty-sweep-82 - test/rew_mean","hearty-sweep-82 - test/rew_mean__MIN","hearty-sweep-82 - test/rew_mean__MAX","worldly-sweep-81 - test/rew_mean","worldly-sweep-81 - test/rew_mean__MIN","worldly-sweep-81 - test/rew_mean__MAX"
"0","7.75","7.75","7.75","8.1","8.1","8.1","7.55","7.55","7.55","7.75","7.75","7.75","8.25","8.25","8.25","8.1","8.1","8.1","9","9","9","8.2","8.2","8.2","8.3","8.3","8.3","7.65","7.65","7.65"
"1","12.8","12.8","12.8","11.7","11.7","11.7","8.7","8.7","8.7","11.3","11.3","11.3","12.25","12.25","12.25","6.95","6.95","6.95","12.15","12.15","12.15","8.05","8.05","8.05","8.35","8.35","8.35","12.25","12.25","12.25"
"2","14.45","14.45","14.45","13.65","13.65","13.65","7.75","7.75","7.75","13.7","13.7","13.7","14.15","14.15","14.15","12.1","12.1","12.1","13.6","13.6","13.6","8.25","8.25","8.25","8.6","8.6","8.6","13.5","13.5","13.5"
"3","14.9","14.9","14.9","15","15","15","8.35","8.35","8.35","14.25","14.25","14.25","13.35","13.35","13.35","13.85","13.85","13.85","16.5","16.5","16.5","8.55","8.55","8.55","8.15","8.15","8.15","15.65","15.65","15.65"
"4","15.85","15.85","15.85","16.35","16.35","16.35","13.65","13.65","13.65","13.4","13.4","13.4","13.1","13.1","13.1","16","16","16","16","16","16","8.15","8.15","8.15","8.15","8.15","8.15","17.25","17.25","17.25"
"5","15.2","15.2","15.2","17.2","17.2","17.2","17.8","17.8","17.8","13.45","13.45","13.45","13.1","13.1","13.1","14.95","14.95","14.95","16.65","16.65","16.65","8.4","8.4","8.4","8.65","8.65","8.65","15.45","15.45","15.45"
"6","16.1","16.1","16.1","16.45","16.45","16.45","16.6","16.6","16.6","13.3","13.3","13.3","13.75","13.75","13.75","16.85","16.85","16.85","15","15","15","8.15","8.15","8.15","7","7","7","16.15","16.15","16.15"
"7","16.2","16.2","16.2","16.8","16.8","16.8","17.25","17.25","17.25","13.3","13.3","13.3","14.25","14.25","14.25","15.4","15.4","15.4","15.2","15.2","15.2","9.05","9.05","9.05","7.1","7.1","7.1","18","18","18"
"8","16.1","16.1","16.1","16","16","16","17","17","17","16.25","16.25","16.25","13.6","13.6","13.6","15.15","15.15","15.15","15.9","15.9","15.9","8.4","8.4","8.4","8.2","8.2","8.2","16.5","16.5","16.5"
"9","15.75","15.75","15.75","17.1","17.1","17.1","17.65","17.65","17.65","14.9","14.9","14.9","14.05","14.05","14.05","15.25","15.25","15.25","14.25","14.25","14.25","7.5","7.5","7.5","7.4","7.4","7.4","18.8","18.8","18.8"
"10","15.6","15.6","15.6","16.45","16.45","16.45","16.7","16.7","16.7","13.95","13.95","13.95","14.75","14.75","14.75","13.5","13.5","13.5","18.2","18.2","18.2","7.85","7.85","7.85","8.3","8.3","8.3","17.75","17.75","17.75"
"11","16.85","16.85","16.85","15.6","15.6","15.6","15.35","15.35","15.35","15.5","15.5","15.5","12.55","12.55","12.55","15.35","15.35","15.35","17.35","17.35","17.35","7.9","7.9","7.9","8.85","8.85","8.85","17.4","17.4","17.4"
"12","16.4","16.4","16.4","16.55","16.55","16.55","16.75","16.75","16.75","16.15","16.15","16.15","13.95","13.95","13.95","15.35","15.35","15.35","18.45","18.45","18.45","7.55","7.55","7.55","9.2","9.2","9.2","17.45","17.45","17.45"
"13","17.55","17.55","17.55","16.7","16.7","16.7","15.95","15.95","15.95","16.2","16.2","16.2","13.6","13.6","13.6","14.1","14.1","14.1","17.2","17.2","17.2","8.4","8.4","8.4","8.4","8.4","8.4","15.3","15.3","15.3"
"14","17.6","17.6","17.6","17.65","17.65","17.65","17.5","17.5","17.5","16","16","16","13.65","13.65","13.65","16.05","16.05","16.05","16.8","16.8","16.8","9.65","9.65","9.65","8.25","8.25","8.25","17.45","17.45","17.45"
"15","15.65","15.65","15.65","16.55","16.55","16.55","17.1","17.1","17.1","16.35","16.35","16.35","13.9","13.9","13.9","14.75","14.75","14.75","15.65","15.65","15.65","8.9","8.9","8.9","8.45","8.45","8.45","19.6","19.6","19.6"
"16","16.4","16.4","16.4","16","16","16","17.4","17.4","17.4","15.7","15.7","15.7","12.7","12.7","12.7","15.75","15.75","15.75","16.45","16.45","16.45","8.6","8.6","8.6","8.2","8.2","8.2","17.9","17.9","17.9"
"17","13.75","13.75","13.75","15.7","15.7","15.7","16.7","16.7","16.7","15.15","15.15","15.15","14.85","14.85","14.85","16.7","16.7","16.7","16.2","16.2","16.2","7.9","7.9","7.9","6.8","6.8","6.8","18.4","18.4","18.4"
"18","17.5","17.5","17.5","15.35","15.35","15.35","17.05","17.05","17.05","15.3","15.3","15.3","14.05","14.05","14.05","16","16","16","16.95","16.95","16.95","7.95","7.95","7.95","7.85","7.85","7.85","15.3","15.3","15.3"
"19","16.6","16.6","16.6","16.65","16.65","16.65","16.9","16.9","16.9","15.4","15.4","15.4","14.5","14.5","14.5","16.65","16.65","16.65","17.05","17.05","17.05","9.15","9.15","9.15","9.45","9.45","9.45","16.4","16.4","16.4"
"20","17.8","17.8","17.8","15.7","15.7","15.7","17.1","17.1","17.1","16.55","16.55","16.55","13.8","13.8","13.8","17.75","17.75","17.75","17.8","17.8","17.8","9.05","9.05","9.05","7.55","7.55","7.55","15.35","15.35","15.35"