"Step","vague-sweep-190 - test/rew_mean","vague-sweep-190 - test/rew_mean__MIN","vague-sweep-190 - test/rew_mean__MAX","jumping-sweep-189 - test/rew_mean","jumping-sweep-189 - test/rew_mean__MIN","jumping-sweep-189 - test/rew_mean__MAX","dashing-sweep-188 - test/rew_mean","dashing-sweep-188 - test/rew_mean__MIN","dashing-sweep-188 - test/rew_mean__MAX","jumping-sweep-187 - test/rew_mean","jumping-sweep-187 - test/rew_mean__MIN","jumping-sweep-187 - test/rew_mean__MAX","different-sweep-186 - test/rew_mean","different-sweep-186 - test/rew_mean__MIN","different-sweep-186 - test/rew_mean__MAX","smooth-sweep-185 - test/rew_mean","smooth-sweep-185 - test/rew_mean__MIN","smooth-sweep-185 - test/rew_mean__MAX","youthful-sweep-184 - test/rew_mean","youthful-sweep-184 - test/rew_mean__MIN","youthful-sweep-184 - test/rew_mean__MAX","exalted-sweep-183 - test/rew_mean","exalted-sweep-183 - test/rew_mean__MIN","exalted-sweep-183 - test/rew_mean__MAX","lunar-sweep-182 - test/rew_mean","lunar-sweep-182 - test/rew_mean__MIN","lunar-sweep-182 - test/rew_mean__MAX","honest-sweep-181 - test/rew_mean","honest-sweep-181 - test/rew_mean__MIN","honest-sweep-181 - test/rew_mean__MAX"
"0","1.9","1.9","1.9","1.75","1.75","1.75","3.2","3.2","3.2","2.25","2.25","2.25","1.7","1.7","1.7","3","3","3","2.3","2.3","2.3","2.95","2.95","2.95","1.25","1.25","1.25","3.15","3.15","3.15"
"1","3.5","3.5","3.5","2.6","2.6","2.6","1.45","1.45","1.45","3.8","3.8","3.8","3.1","3.1","3.1","3.15","3.15","3.15","1.55","1.55","1.55","2.5","2.5","2.5","1.35","1.35","1.35","3.2","3.2","3.2"
"2","14.8","14.8","14.8","9.15","9.15","9.15","6.25","6.25","6.25","10.65","10.65","10.65","18.05","18.05","18.05","4.95","4.95","4.95","2.5","2.5","2.5","5.85","5.85","5.85","10.05","10.05","10.05","12.6","12.6","12.6"
"3","18.4","18.4","18.4","22.1","22.1","22.1","13.25","13.25","13.25","18.6","18.6","18.6","18.15","18.15","18.15","10.3","10.3","10.3","5.4","5.4","5.4","13.55","13.55","13.55","17.1","17.1","17.1","16.05","16.05","16.05"
"4","21.1","21.1","21.1","21.45","21.45","21.45","20.85","20.85","20.85","21.15","21.15","21.15","23.05","23.05","23.05","21.5","21.5","21.5","12","12","12","19.05","19.05","19.05","22.95","22.95","22.95","21.45","21.45","21.45"
"5","20.25","20.25","20.25","20.7","20.7","20.7","20.1","20.1","20.1","22.5","22.5","22.5","25.5","25.5","25.5","21.6","21.6","21.6","15","15","15","21","21","21","21.75","21.75","21.75","22.8","22.8","22.8"
"6","22.2","22.2","22.2","23.25","23.25","23.25","19.2","19.2","19.2","21.75","21.75","21.75","22.95","22.95","22.95","19.65","19.65","19.65","14.55","14.55","14.55","23.25","23.25","23.25","21","21","21","19.95","19.95","19.95"
"7","22.5","22.5","22.5","22.8","22.8","22.8","23.4","23.4","23.4","22.8","22.8","22.8","21.75","21.75","21.75","24.5","24.5","24.5","13.8","13.8","13.8","22.5","22.5","22.5","21","21","21","23.25","23.25","23.25"
"8","24.75","24.75","24.75","22.5","22.5","22.5","22.8","22.8","22.8","21","21","21","20.25","20.25","20.25","25.5","25.5","25.5","14.55","14.55","14.55","18","18","18","20.55","20.55","20.55","20.25","20.25","20.25"
"9","22.5","22.5","22.5","20.95","20.95","20.95","24","24","24","22.5","22.5","22.5","21.55","21.55","21.55","24.75","24.75","24.75","13.35","13.35","13.35","23.25","23.25","23.25","24","24","24","19.8","19.8","19.8"
"10","22.5","22.5","22.5","23.25","23.25","23.25","20.4","20.4","20.4","21.75","21.75","21.75","20.25","20.25","20.25","23.55","23.55","23.55","17.55","17.55","17.55","21","21","21","23.25","23.25","23.25","20.25","20.25","20.25"
"11","23.25","23.25","23.25","24.75","24.75","24.75","25.35","25.35","25.35","18.75","18.75","18.75","24.75","24.75","24.75","20.25","20.25","20.25","23.4","23.4","23.4","21.75","21.75","21.75","21.75","21.75","21.75","22.2","22.2","22.2"
"12","21.75","21.75","21.75","21","21","21","21.15","21.15","21.15","21.75","21.75","21.75","24.75","24.75","24.75","26.25","26.25","26.25","20.4","20.4","20.4","21","21","21","22.5","22.5","22.5","21","21","21"
"13","19.5","19.5","19.5","21","21","21","22.5","22.5","22.5","22.5","22.5","22.5","21.75","21.75","21.75","23.7","23.7","23.7","23.25","23.25","23.25","21.75","21.75","21.75","23.25","23.25","23.25","19.8","19.8","19.8"
"14","23.25","23.25","23.25","23.25","23.25","23.25","21.6","21.6","21.6","21.75","21.75","21.75","22.05","22.05","22.05","21.95","21.95","21.95","21.75","21.75","21.75","20.85","20.85","20.85","21","21","21","22.05","22.05","22.05"
"15","24.75","24.75","24.75","21","21","21","22.65","22.65","22.65","23.25","23.25","23.25","20.25","20.25","20.25","24.75","24.75","24.75","18","18","18","23.25","23.25","23.25","21.75","21.75","21.75","23.1","23.1","23.1"
"16","23.25","23.25","23.25","24","24","24","24","24","24","22.5","22.5","22.5","22.5","22.5","22.5","24.3","24.3","24.3","23.25","23.25","23.25","20.25","20.25","20.25","24.75","24.75","24.75","24.3","24.3","24.3"
"17","21","21","21","21.75","21.75","21.75","25.5","25.5","25.5","21.75","21.75","21.75","21.75","21.75","21.75","24.15","24.15","24.15","21.75","21.75","21.75","19.5","19.5","19.5","22.5","22.5","22.5","24","24","24"
"18","24.15","24.15","24.15","20.25","20.25","20.25","19.2","19.2","19.2","20.25","20.25","20.25","21.75","21.75","21.75","21","21","21","20.25","20.25","20.25","21.75","21.75","21.75","26.25","26.25","26.25","23.85","23.85","23.85"
"19","20.25","20.25","20.25","24","24","24","19.95","19.95","19.95","21.75","21.75","21.75","24","24","24","24.75","24.75","24.75","23.25","23.25","23.25","22.5","22.5","22.5","22.5","22.5","22.5","19.95","19.95","19.95"
"20","23.25","23.25","23.25","21.75","21.75","21.75","19.5","19.5","19.5","22.5","22.5","22.5","23.25","23.25","23.25","25.8","25.8","25.8","20.25","20.25","20.25","24.75","24.75","24.75","20.25","20.25","20.25","21.75","21.75","21.75"