"Step","visionary-sweep-80 - test/rew_mean","visionary-sweep-80 - test/rew_mean__MIN","visionary-sweep-80 - test/rew_mean__MAX","lemon-sweep-79 - test/rew_mean","lemon-sweep-79 - test/rew_mean__MIN","lemon-sweep-79 - test/rew_mean__MAX","pious-sweep-78 - test/rew_mean","pious-sweep-78 - test/rew_mean__MIN","pious-sweep-78 - test/rew_mean__MAX","grateful-sweep-77 - test/rew_mean","grateful-sweep-77 - test/rew_mean__MIN","grateful-sweep-77 - test/rew_mean__MAX","serene-sweep-76 - test/rew_mean","serene-sweep-76 - test/rew_mean__MIN","serene-sweep-76 - test/rew_mean__MAX","crimson-sweep-75 - test/rew_mean","crimson-sweep-75 - test/rew_mean__MIN","crimson-sweep-75 - test/rew_mean__MAX","distinctive-sweep-74 - test/rew_mean","distinctive-sweep-74 - test/rew_mean__MIN","distinctive-sweep-74 - test/rew_mean__MAX","vibrant-sweep-73 - test/rew_mean","vibrant-sweep-73 - test/rew_mean__MIN","vibrant-sweep-73 - test/rew_mean__MAX","firm-sweep-72 - test/rew_mean","firm-sweep-72 - test/rew_mean__MIN","firm-sweep-72 - test/rew_mean__MAX","drawn-sweep-71 - test/rew_mean","drawn-sweep-71 - test/rew_mean__MIN","drawn-sweep-71 - test/rew_mean__MAX"
"0","4.45","4.45","4.45","5.1","5.1","5.1","4.25","4.25","4.25","3.5","3.5","3.5","5.65","5.65","5.65","4.9","4.9","4.9","4.35","4.35","4.35","5.05","5.05","5.05","3.6","3.6","3.6","5.5","5.5","5.5"
"1","5.3","5.3","5.3","6.05","6.05","6.05","8.2","8.2","8.2","8.75","8.75","8.75","8.95","8.95","8.95","6.7","6.7","6.7","8.05","8.05","8.05","7.8","7.8","7.8","5.3","5.3","5.3","7.5","7.5","7.5"
"2","7.2","7.2","7.2","7.5","7.5","7.5","8.15","8.15","8.15","9.9","9.9","9.9","7.05","7.05","7.05","9.9","9.9","9.9","8.8","8.8","8.8","6.55","6.55","6.55","9.4","9.4","9.4","8","8","8"
"3","13.2","13.2","13.2","7.35","7.35","7.35","9.4","9.4","9.4","10.95","10.95","10.95","11.1","11.1","11.1","9.8","9.8","9.8","8.9","8.9","8.9","8.8","8.8","8.8","9.05","9.05","9.05","8.75","8.75","8.75"
"4","10.55","10.55","10.55","8.65","8.65","8.65","8.35","8.35","8.35","13.55","13.55","13.55","7.15","7.15","7.15","8.65","8.65","8.65","11.4","11.4","11.4","8.2","8.2","8.2","10.8","10.8","10.8","9.7","9.7","9.7"
"5","10.6","10.6","10.6","9.9","9.9","9.9","8.4","8.4","8.4","12.95","12.95","12.95","7.95","7.95","7.95","11.15","11.15","11.15","8.05","8.05","8.05","6.95","6.95","6.95","9.65","9.65","9.65","11.7","11.7","11.7"
"6","11.7","11.7","11.7","10.55","10.55","10.55","7.7","7.7","7.7","13.3","13.3","13.3","10.9","10.9","10.9","9.45","9.45","9.45","9.85","9.85","9.85","8.7","8.7","8.7","9.85","9.85","9.85","10.1","10.1","10.1"
"7","10.85","10.85","10.85","8.9","8.9","8.9","12.5","12.5","12.5","11.2","11.2","11.2","11.1","11.1","11.1","10.3","10.3","10.3","9.75","9.75","9.75","7.8","7.8","7.8","12.7","12.7","12.7","10.65","10.65","10.65"
"8","8.75","8.75","8.75","11.25","11.25","11.25","11.35","11.35","11.35","11.8","11.8","11.8","10.55","10.55","10.55","11.45","11.45","11.45","6.95","6.95","6.95","5.05","5.05","5.05","9.2","9.2","9.2","9.55","9.55","9.55"
"9","10.3","10.3","10.3","10.25","10.25","10.25","11.95","11.95","11.95","10.15","10.15","10.15","11.7","11.7","11.7","10.15","10.15","10.15","10.85","10.85","10.85","8.2","8.2","8.2","8.5","8.5","8.5","11.95","11.95","11.95"
"10","11.05","11.05","11.05","10.35","10.35","10.35","11.8","11.8","11.8","14.1","14.1","14.1","11.95","11.95","11.95","10","10","10","8.75","8.75","8.75","8.2","8.2","8.2","11.75","11.75","11.75","6.85","6.85","6.85"
"11","10.25","10.25","10.25","10.85","10.85","10.85","9.35","9.35","9.35","12.2","12.2","12.2","11.7","11.7","11.7","12.35","12.35","12.35","9.15","9.15","9.15","6.85","6.85","6.85","7.85","7.85","7.85","12.75","12.75","12.75"
"12","10.55","10.55","10.55","7.65","7.65","7.65","9.45","9.45","9.45","13.6","13.6","13.6","11.3","11.3","11.3","9.7","9.7","9.7","11.05","11.05","11.05","9.2","9.2","9.2","10.9","10.9","10.9","10.65","10.65","10.65"
"13","8.45","8.45","8.45","9.9","9.9","9.9","10.65","10.65","10.65","11.85","11.85","11.85","9.15","9.15","9.15","9.2","9.2","9.2","7.95","7.95","7.95","6.3","6.3","6.3","9.7","9.7","9.7","7.9","7.9","7.9"
"14","10.75","10.75","10.75","9.5","9.5","9.5","9.9","9.9","9.9","10.9","10.9","10.9","12.55","12.55","12.55","11.2","11.2","11.2","10.9","10.9","10.9","9.45","9.45","9.45","11.5","11.5","11.5","9.95","9.95","9.95"
"15","13.65","13.65","13.65","11.75","11.75","11.75","9.3","9.3","9.3","12.2","12.2","12.2","10.1","10.1","10.1","11.6","11.6","11.6","11","11","11","9.05","9.05","9.05","12.15","12.15","12.15","8","8","8"
"16","14.05","14.05","14.05","10.15","10.15","10.15","11.65","11.65","11.65","13.65","13.65","13.65","12.6","12.6","12.6","10.2","10.2","10.2","10.2","10.2","10.2","7.85","7.85","7.85","12","12","12","9.6","9.6","9.6"
"17","11.7","11.7","11.7","9.15","9.15","9.15","10","10","10","10.1","10.1","10.1","11","11","11","9.95","9.95","9.95","9.5","9.5","9.5","8.5","8.5","8.5","11.55","11.55","11.55","9","9","9"
"18","13.6","13.6","13.6","6.05","6.05","6.05","11.9","11.9","11.9","14.15","14.15","14.15","9.25","9.25","9.25","8.6","8.6","8.6","11.95","11.95","11.95","7.75","7.75","7.75","8.1","8.1","8.1","8.7","8.7","8.7"
"19","12.4","12.4","12.4","11.4","11.4","11.4","9.1","9.1","9.1","12.35","12.35","12.35","10.4","10.4","10.4","10.85","10.85","10.85","10.4","10.4","10.4","8.05","8.05","8.05","8.45","8.45","8.45","8.6","8.6","8.6"
"20","13.35","13.35","13.35","10.5","10.5","10.5","11.1","11.1","11.1","13.05","13.05","13.05","11.7","11.7","11.7","11.95","11.95","11.95","10.8","10.8","10.8","8.1","8.1","8.1","9","9","9","10.45","10.45","10.45"