"Step","super-sweep-200 - test/rew_mean","super-sweep-200 - test/rew_mean__MIN","super-sweep-200 - test/rew_mean__MAX","lemon-sweep-199 - test/rew_mean","lemon-sweep-199 - test/rew_mean__MIN","lemon-sweep-199 - test/rew_mean__MAX","glorious-sweep-198 - test/rew_mean","glorious-sweep-198 - test/rew_mean__MIN","glorious-sweep-198 - test/rew_mean__MAX","swept-sweep-197 - test/rew_mean","swept-sweep-197 - test/rew_mean__MIN","swept-sweep-197 - test/rew_mean__MAX","wise-sweep-196 - test/rew_mean","wise-sweep-196 - test/rew_mean__MIN","wise-sweep-196 - test/rew_mean__MAX","neat-sweep-195 - test/rew_mean","neat-sweep-195 - test/rew_mean__MIN","neat-sweep-195 - test/rew_mean__MAX","good-sweep-194 - test/rew_mean","good-sweep-194 - test/rew_mean__MIN","good-sweep-194 - test/rew_mean__MAX","dandy-sweep-193 - test/rew_mean","dandy-sweep-193 - test/rew_mean__MIN","dandy-sweep-193 - test/rew_mean__MAX","helpful-sweep-192 - test/rew_mean","helpful-sweep-192 - test/rew_mean__MIN","helpful-sweep-192 - test/rew_mean__MAX","sage-sweep-191 - test/rew_mean","sage-sweep-191 - test/rew_mean__MIN","sage-sweep-191 - test/rew_mean__MAX"
"0","1.6","1.6","1.6","1.4","1.4","1.4","1.6","1.6","1.6","1.05","1.05","1.05","1.85","1.85","1.85","1.95","1.95","1.95","1.3","1.3","1.3","3.1","3.1","3.1","1","1","1","1.2","1.2","1.2"
"1","2.35","2.35","2.35","1.8","1.8","1.8","0.95","0.95","0.95","2","2","2","1.65","1.65","1.65","2.5","2.5","2.5","1.8","1.8","1.8","2.65","2.65","2.65","1.7","1.7","1.7","3.2","3.2","3.2"
"2","3.8","3.8","3.8","1.35","1.35","1.35","4.75","4.75","4.75","3.4","3.4","3.4","1.2","1.2","1.2","1.8","1.8","1.8","3.6","3.6","3.6","3.4","3.4","3.4","2.2","2.2","2.2","4.7","4.7","4.7"
"3","12.1","12.1","12.1","3.45","3.45","3.45","5.8","5.8","5.8","7.3","7.3","7.3","4","4","4","3.15","3.15","3.15","4.15","4.15","4.15","3.8","3.8","3.8","4.25","4.25","4.25","7","7","7"
"4","9.9","9.9","9.9","5.5","5.5","5.5","7.35","7.35","7.35","11.35","11.35","11.35","2.95","2.95","2.95","2.25","2.25","2.25","5.9","5.9","5.9","5.5","5.5","5.5","7.15","7.15","7.15","9.2","9.2","9.2"
"5","10.7","10.7","10.7","10.55","10.55","10.55","6.9","6.9","6.9","12.7","12.7","12.7","3.15","3.15","3.15","2.85","2.85","2.85","6","6","6","8.7","8.7","8.7","6.25","6.25","6.25","8.45","8.45","8.45"
"6","11.7","11.7","11.7","7.15","7.15","7.15","9.1","9.1","9.1","12.6","12.6","12.6","5.7","5.7","5.7","2.05","2.05","2.05","6.85","6.85","6.85","9.25","9.25","9.25","8.4","8.4","8.4","8.8","8.8","8.8"
"7","13","13","13","7.05","7.05","7.05","10.8","10.8","10.8","10.85","10.85","10.85","6.3","6.3","6.3","4.25","4.25","4.25","5.3","5.3","5.3","7.95","7.95","7.95","8.2","8.2","8.2","11.3","11.3","11.3"
"8","9.55","9.55","9.55","10.6","10.6","10.6","14.55","14.55","14.55","9.95","9.95","9.95","7.65","7.65","7.65","4.65","4.65","4.65","5.95","5.95","5.95","6.7","6.7","6.7","7.3","7.3","7.3","12.5","12.5","12.5"
"9","8.4","8.4","8.4","7.8","7.8","7.8","11.9","11.9","11.9","9.45","9.45","9.45","8.2","8.2","8.2","3.7","3.7","3.7","5.15","5.15","5.15","8.65","8.65","8.65","6.7","6.7","6.7","12.1","12.1","12.1"
"10","10.15","10.15","10.15","9.1","9.1","9.1","12.3","12.3","12.3","13","13","13","9.1","9.1","9.1","3.35","3.35","3.35","5.95","5.95","5.95","7.85","7.85","7.85","8.95","8.95","8.95","7.45","7.45","7.45"
"11","10.2","10.2","10.2","8.35","8.35","8.35","9.45","9.45","9.45","12.4","12.4","12.4","10.95","10.95","10.95","3.6","3.6","3.6","5.45","5.45","5.45","4.2","4.2","4.2","6.15","6.15","6.15","9.15","9.15","9.15"
"12","10.05","10.05","10.05","7.7","7.7","7.7","9.45","9.45","9.45","14.8","14.8","14.8","6.45","6.45","6.45","2.55","2.55","2.55","5.25","5.25","5.25","4.55","4.55","4.55","8.05","8.05","8.05","9.65","9.65","9.65"
"13","8.15","8.15","8.15","7.25","7.25","7.25","10.15","10.15","10.15","11.45","11.45","11.45","7.6","7.6","7.6","4","4","4","6","6","6","5.05","5.05","5.05","8.45","8.45","8.45","6.5","6.5","6.5"
"14","10","10","10","7.1","7.1","7.1","11.75","11.75","11.75","12.35","12.35","12.35","8.25","8.25","8.25","2.75","2.75","2.75","5.5","5.5","5.5","8.45","8.45","8.45","6.35","6.35","6.35","7.25","7.25","7.25"
"15","13.5","13.5","13.5","5.9","5.9","5.9","10.55","10.55","10.55","9.35","9.35","9.35","5.35","5.35","5.35","2.75","2.75","2.75","5.8","5.8","5.8","6.7","6.7","6.7","8","8","8","9.05","9.05","9.05"
"16","14.15","14.15","14.15","8.8","8.8","8.8","8.65","8.65","8.65","12.95","12.95","12.95","9.35","9.35","9.35","4.35","4.35","4.35","5.6","5.6","5.6","8.25","8.25","8.25","8.75","8.75","8.75","10.3","10.3","10.3"
"17","11.15","11.15","11.15","7.65","7.65","7.65","12.95","12.95","12.95","9.95","9.95","9.95","5.9","5.9","5.9","2.35","2.35","2.35","8","8","8","7.55","7.55","7.55","9.05","9.05","9.05","10.1","10.1","10.1"
"18","12.7","12.7","12.7","7.25","7.25","7.25","8.95","8.95","8.95","11.7","11.7","11.7","6.4","6.4","6.4","1.75","1.75","1.75","11.6","11.6","11.6","10.6","10.6","10.6","6.2","6.2","6.2","10.1","10.1","10.1"
"19","12.15","12.15","12.15","10.75","10.75","10.75","13.3","13.3","13.3","10.7","10.7","10.7","7.1","7.1","7.1","3.4","3.4","3.4","7.75","7.75","7.75","13.15","13.15","13.15","8.4","8.4","8.4","10.25","10.25","10.25"
"20","12.15","12.15","12.15","8.35","8.35","8.35","10.8","10.8","10.8","9.55","9.55","9.55","5.75","5.75","5.75","4.15","4.15","4.15","8.6","8.6","8.6","10.15","10.15","10.15","6.75","6.75","6.75","13.4","13.4","13.4"